"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","13","3.385","15.4","53.8","23.1","7.7",".",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","26","3.231","23.1","34.6","23.1","11.5","3.8","3.8","",".",".",".",".","",".",".",".",".",".","."
"Senior","","24","3.302","25.0","37.5","12.5","12.5","8.3",".","",".",".",".",".","",".",".",".","4.2",".","."
"Undergraduates","","64","3.292","21.9","40.6","18.8","10.9","4.7","1.6","",".",".",".",".","",".",".",".","1.6",".","."
"Special","","3","3.625","33.3","66.7",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Graduate","","82","3.406","12.2","17.1","14.6","3.7",".",".","",".","26.8","1.2",".","",".","20.7","2.4",".","1.2","."
"","Dept. Total","149","3.343","16.8","28.2","16.1","6.7","2.0","0.7","",".","14.8","0.7",".","",".","11.4","1.3","0.7","0.7","."
