"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Topics-Finite Mathematics","Course Total","671","3.031","30.0","16.7","23.8","7.6","13.7","6.0","1.9",".",".",".",".",".","0.1","0.1",".","."
"","001
211","228","2.513","14.9","10.1","27.2","7.5","22.4","11.4","6.6",".",".",".",".",".",".",".",".","."
"","002
211","215","2.301","14.4","7.0","20.5","6.5","24.2","16.3","8.4",".",".",".",".",".",".","1.4",".","1.4"
"Calculus","Course Total","443","2.412","14.7","8.6","23.9","7.0","23.3","13.8","7.4",".",".",".",".",".",".","0.7",".","0.7"
"","213
001","38","3.342","42.1","10.5","31.6","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","213
002","49","3.367","28.6","30.6","32.7","2.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"","213
003","27","3.327","37.0","18.5","22.2","7.4","11.1",".",".",".",".",".",".",".",".","3.7",".","."
"","004
213","48","2.708","12.5","18.8","22.9","10.4","27.1","6.3","2.1",".",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","Course Total","162","3.158","28.4","20.4","27.8","6.2","14.2","1.9","0.6",".",".",".",".",".",".","0.6",".","."
"","001
221","181","2.699","19.3","16.0","19.3","14.4","16.0","6.1","7.2","0.6",".",".",".",".","1.1",".",".","."
"","221
002","162","2.494","11.7","17.3","21.6","16.0","14.2","8.6","10.5",".",".",".",".",".",".",".",".","."
"","003
221","226","2.547","17.3","5.3","27.9","6.2","30.1","6.6","6.2",".",".",".",".",".",".","0.4",".","."
"","221
004","184","2.610","21.7","5.4","24.5","9.8","23.9","6.5","7.1","0.5",".",".",".",".",".",".","0.5","."
"","006
221","235","2.419","17.0","10.6","19.1","13.6","16.6","11.9","11.1",".",".",".",".",".",".",".",".","."
"","007
221","248","2.613","20.2","13.3","19.4","10.9","19.0","10.9","6.5",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","1236","2.560","18.0","11.1","21.9","11.6","20.2","8.7","8.0","0.2",".",".",".",".","0.2","0.1","0.1","."
"","001
222","146","2.863","25.3","11.0","27.4","11.0","15.1","6.8","3.4",".",".",".",".",".",".",".",".","."
"","002
222","121","2.331","9.9","9.9","24.0","11.6","20.7","14.9","8.3",".",".",".",".",".",".",".",".","0.8"
"","222
003","124","2.593","21.8","11.3","16.1","7.3","29.8","6.5","7.3",".",".",".",".",".",".",".",".","."
"","004
222","108","2.646","18.5","10.2","22.2","13.0","21.3","8.3","4.6",".",".",".",".",".","0.9","0.9",".","."
"","005
222","189","2.620","14.3","10.1","21.7","20.1","24.3","5.8","3.7",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","688","2.620","17.9","10.5","22.4","13.2","22.2","8.1","5.2",".",".",".",".",".","0.1","0.1",".","0.1"
"Intro:Probabilty-Biologists","231
001","12","2.750","16.7","16.7","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Intro:Dynamicl Sys-Biolgsts","232
001","9","2.944","22.2","11.1","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","234
001","164","2.549","22.6","5.5","25.6","3.0","28.7","3.7","11.0",".",".",".",".",".",".",".",".","."
"","002
234","173","2.664","21.4","1.2","27.2","2.9","39.9","5.2","1.2",".",".",".",".",".",".","0.6",".","0.6"
"","003
234","116","2.177","12.1","8.6","12.9","12.9","27.6","12.9","12.9",".",".",".",".",".",".",".",".","."
"","004
234","159","2.392","11.3","9.4","13.8","15.7","33.3","11.9","3.8",".",".",".",".",".",".",".","0.6","."
"","005
234","36","2.662","22.2","2.8","30.6","5.6","13.9","19.4",".",".",".",".",".",".",".","5.6",".","."
"Calc--Functns of Variables","Course Total","648","2.480","17.6","5.7","21.1","8.0","31.8","8.6","6.3",".",".",".",".",".",".","0.5","0.2","0.2"
