"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Teachng Art:Pre-Middle Schl","322
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Art in Elementary Education","323
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423
001","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","470
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","493
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699
061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","951
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","951
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","Course Total","","9","3.750","66.7",".","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Adv Independent Reading","999
061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","92","3.857","75.0","16.3","4.3",".","1.1",".",".",".",".",".",".","1.1","2.2",".",".","."
