"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","18","3.382","55.6","5.6","16.7",".","11.1","5.6",".",".",".",".",".",".",".",".","5.6","."
"271
Mat Sci&Engr Prob Solvng I","001","","17","3.588","47.1","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","24","3.354","25.0","33.3","33.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","165","3.287","29.7","18.8","37.0","9.1","3.6","1.2",".","0.6",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","25","2.860","12.0","16.0","32.0","20.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"360","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","12","3.417","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","15","3.536","46.7","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"451
Intro to Ceramic Materials","001","","19","3.000","36.8","10.5","26.3","10.5","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"465
Fundamentals-Heat Treatment","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
Copper & Copper Base Alloys","001","","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"467
The Light Alloys","001","","12","3.500","33.3","25.0","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"468
The Stainless Steels","001","","12","3.591","41.7","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","21","3.190","19.0","14.3","52.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"752
Adv Matls Sci-Phase Transfm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Surf&Interface Characterztn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","10","",".",".",".",".",".",".",".","30.0",".",".",".","70.0",".",".",".","."
"801
Topics-Physical Metallurgy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Metallurgicl Thermodynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","24","3.969","45.8","4.2",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
