"ASTRONOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","",""
"Survey of Astronomy","100
001","140","2.820","10.7","11.4","30.0","29.3","12.9","2.1","0.7","1.4",".",".",".",".",".",".","1.4","."
"The Evolving Universe","103
001","122","2.888","18.9","21.3","24.6","13.9","9.8","8.2","2.5",".",".",".",".",".",".",".",".","0.8"
"","104
001","137","2.620","10.2","13.9","30.7","15.3","16.1","10.2","3.6",".",".",".",".",".",".",".",".","."
"","104
002","144","2.863","11.1","18.8","33.3","12.5","18.8","3.5","0.7","1.4",".",".",".",".",".",".",".","."
"Exploration of Solar System","Course Total","281","2.744","10.7","16.4","32.0","13.9","17.4","6.8","2.1","0.7",".",".",".",".",".",".",".","."
"","113
001","23","3.091","17.4","13.0","39.1","21.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","002
113","19","3.079","26.3","10.5","36.8","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","42","3.085","21.4","11.9","38.1","14.3","11.9",".",".","2.4",".",".",".",".",".",".",".","."
"","001
114","23","3.522","52.2","4.3","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
114","19","3.632","57.9","10.5","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","114
003","20","3.725","70.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
114","23","3.543","52.2","4.3","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","114
005","22","3.182","36.4",".","45.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","114
006","19","3.263","31.6",".","63.2",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Solar System","Course Total","126","3.476","50.0","4.0","41.3","2.4","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"","150
001","29","2.833","20.7","6.9","34.5","3.4","20.7","3.4","3.4","3.4","3.4",".",".",".",".",".",".","."
"","150
002","15","3.143","20.0","20.0","26.7","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Topics in Astronomy","Course Total","44","2.939","20.5","11.4","31.8","9.1","15.9","2.3","2.3","4.5","2.3",".",".",".",".",".",".","."
"Stellar Astrophysics","310
001","26","2.760","23.1",".","42.3",".","19.2","7.7","3.8","3.8",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Astrophysics","700
001","6","3.684","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Galaxies","730
001","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Astrophysics","910
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smnar-Astrophysical Topics","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
