"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"451
Kinemtcs&Dynmcs-Machine Sys","001","","25","3.520","32.0","44.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"469","001","","30","3.250","23.3","33.3","16.7","23.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"469","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"469","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internal Combustion Engines","Course Total","","32","3.297","28.1","31.3","15.6","21.9","3.1",".",".",".",".",".",".",".",".",".",".","."
"489","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"491","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","006","","8","3.500","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"491","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","20","3.794","70.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"491","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","36","3.756","63.9","22.2","2.8",".","5.6",".",".",".",".",".",".",".","2.8","2.8",".","."
"492","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","7","3.684","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","8","3.659","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"508
Composite Materials","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Facilities Planning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","7","3.000","14.3","14.3","14.3","42.9",".",".",".","14.3",".",".",".",".",".",".",".","."
"539
Intro-Artificl Neural Ntwrk","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","25","3.400","32.0","32.0","24.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","25","3.280","16.0","32.0","44.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","8","3.188","12.5","12.5","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"572","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"572","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Gas Dynamics","Course Total","","14","3.692","42.9","42.9","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"573","001","","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"573","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Fluid Dynamcs","Course Total","","29","3.911","82.8","10.3","3.4",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"601","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"643
Performnc Anal-Manufact Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
