"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","16","3.313","56.3","6.3","18.8","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","101
002","21","3.500","47.6","14.3","14.3","9.5","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"","003
101","19","3.176","26.3","5.3","42.1","5.3","10.5",".",".","10.5",".",".",".",".",".",".",".","."
"","004
101","19","2.816","10.5","10.5","57.9","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","005
101","23","3.659","65.2","8.7","8.7","13.0",".",".",".","4.3",".",".",".",".",".",".",".","."
"","101
006","18","2.912","16.7","22.2","11.1","27.8","11.1","5.6",".","5.6",".",".",".",".",".",".",".","."
"","007
101","15","2.923","20.0","6.7","40.0","6.7",".","13.3",".","13.3",".",".",".",".",".",".",".","."
"First Semester German","Course Total","131","3.211","35.9","10.7","26.7","10.7","5.3","3.1","1.5","6.1",".",".",".",".",".",".",".","."
"","102
001","20","3.158","15.0","15.0","55.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0"
"","102
002","20","3.350","45.0","10.0","30.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","003
102","22","3.227","18.2","18.2","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","13","3.227","23.1","7.7","46.2",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","75","3.243","25.3","13.3","46.7","4.0","6.7",".",".","2.7",".",".",".",".",".",".",".","1.3"
"","111
001","14","3.357","50.0","7.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","003
111","7","2.833","14.3","14.3",".",".",".","14.3",".","57.1",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","21","3.265","38.1","9.5","14.3","4.8","9.5","4.8",".","19.0",".",".",".",".",".",".",".","."
"Intensive German I","171
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","21","3.500","52.4","9.5","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","22","3.810","68.2","22.7",".","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","203
004","19","3.474","52.6","26.3","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","005
203","21","3.929","95.2",".",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","16","3.531","50.0","25.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
007","15","3.233","46.7","6.7","33.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","131","3.627","64.1","13.7","13.0","5.3","1.5",".","1.5","0.8",".",".",".",".",".",".",".","."
"","204
001","21","3.602","57.1","14.3","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
204","22","3.659","68.2","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","003
204","15","3.567","73.3","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","004
204","18","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","23","3.826","82.6","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
007","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","112","3.640","63.4","15.2","17.9",".","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","22","3.316","40.9","18.2","27.3","4.5",".","9.1",".",".",".",".",".",".",".",".",".","."
"","221
003","16","3.692","37.5","37.5","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","6.3"
"Readings-German Literature","Course Total","38","3.453","39.5","26.3","18.4","2.6",".","5.3",".","5.3",".",".",".",".",".",".",".","2.6"
"Intro to German Literature","222
001","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
225","15","3.214","13.3","33.3","33.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","225
004","18","3.194","11.1","27.8","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","225
005","14","3.346","35.7","28.6","14.3","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"","225
006","16","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","007
225","16","3.313","37.5","31.3","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","225
008","14","3.179","35.7","21.4","28.6",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
