"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","32","3.436","37.5","12.5","31.3","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","002
1","23","3.750","60.9","13.0","13.0",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","55","3.562","47.3","12.7","23.6","7.3",".",".",".","9.1",".",".",".",".",".",".",".","."
"","001
11","19","3.618","63.2","15.8","5.3",".",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"","11
002","19","3.763","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","38","3.694","76.3","10.5","2.6",".",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111
001","18","3.344","33.3","33.3","11.1","5.6",".",".","5.6",".",".",".",".",".",".","5.6","5.6","."
"Modern Dance II","12
001","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","22","3.952","86.4","9.1",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","21","3.310","38.1","28.6","14.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","18","3.500","27.8","33.3","27.8",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","21
002","19","3.500","10.5","57.9","10.5",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Ballet I","Course Total","37","3.500","18.9","45.9","18.9",".",".",".",".","16.2",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211
001","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","15","3.857","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","31
001","26","3.636","38.5","30.8","15.4",".",".",".",".","11.5",".",".",".",".",".","3.8",".","."
"","31
002","27","3.500","29.6","37.0","22.2","3.7",".",".",".","7.4",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","53","3.564","34.0","34.0","18.9","1.9",".",".",".","9.4",".",".",".",".",".","1.9",".","."
"Modern Dance Technique V","311
001","13","3.471","15.4","61.5","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Ballet Technique III","001
325","22","3.930","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","2","***","","","","","","","","","","","","","","","",""
"","41
001","48","3.734","37.5","22.9","6.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","41
002","27","3.827","74.1","11.1","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","41
003","40","3.879","60.0","7.5","5.0",".",".",".",".","27.5",".",".",".",".",".",".",".","."
"","004
41","51","3.575","37.3","19.6","19.6",".","2.0",".",".","21.6",".",".",".",".",".",".",".","."
"","005
41","37","3.560","16.2","43.2","8.1",".",".",".",".","32.4",".",".",".",".",".",".",".","."
"","41
006","37","3.966","73.0","5.4",".",".",".",".",".","21.6",".",".",".",".",".",".",".","."
"","007
41","38","3.794","57.9","26.3","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","41
008","33","3.793","51.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".","3.0","."
"","41
009","36","3.781","52.8","33.3","2.8",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","347","3.763","49.6","22.8","6.9",".","0.3",".",".","20.2",".",".",".",".",".",".","0.3","."
"","42
001","27","3.981","92.6","3.7",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","42
002","20","3.912","70.0","15.0",".",".",".",".",".","10.0",".",".",".",".",".","5.0",".","."
"Ballroom Dance II","Course Total","47","3.953","83.0","8.5",".",".",".",".",".","6.4",".",".",".",".",".","2.1",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique IV","425
001","26","3.635","53.8","19.2","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Westrn Theatricl Dance","432
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","451
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 99 of 388"
