"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"431","001","","28","3.357","42.9","14.3","25.0","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"431","002","","22","3.205","36.4","18.2","13.6","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"431","003","","26","3.269","34.6","15.4","26.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"431","004","","31","3.468","51.6","9.7","25.8","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Comparative Anatomy Lab","Course Total","","107","3.336","42.1","14.0","23.4","12.1","7.5","0.9",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","59","3.213","16.9","32.2","32.2","13.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","68","2.426","11.8","13.2","17.6","7.4","30.9","16.2","2.9",".",".",".",".",".",".",".",".","."
"504
Biophysical Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"523
Neurobiology","001","","76","3.280","26.3","28.9","28.9","5.3","7.9","1.3",".",".",".",".",".",".",".",".","1.3","."
"531","001","","13","3.154","23.1","15.4","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"531","002","","12","3.292","33.3","8.3","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ethology Laboratory","Course Total","","25","3.220","28.0","12.0","40.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"545
Evolutionary Physiology","001","","19","3.548","47.4","26.3","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","154","3.078","32.5","6.5","33.8","3.9","20.8","0.6","1.3",".",".",".",".",".",".",".",".","0.6"
"630
Cellulr Signal Transductn Mech","001","","11","2.818",".",".","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"639
Capstone-Field Biology I","001","","13","3.875","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis Progress Seminar","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 311 of 388",""
