"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.000","30.0","25.0","20.0","5.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","101
002","23","3.413","34.8","26.1","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","101
003","23","3.205","17.4","26.1","39.1","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","004
101","23","3.022","30.4","13.0","30.4","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","101
005","23","3.043","17.4","39.1","8.7","4.3","30.4",".",".",".",".",".",".",".",".",".",".","."
"","006
101","23","3.283","39.1","26.1","8.7","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","007
101","22","3.114","27.3","18.2","31.8","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","008
101","23","3.159","30.4","21.7","21.7",".","17.4","4.3",".",".","4.3",".",".",".",".",".",".","."
"","009
101","18","3.441","38.9","27.8","11.1","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","101
010","24","3.083","25.0","25.0","33.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","101
011","23","3.182","34.8","26.1","13.0","8.7",".","13.0",".","4.3",".",".",".",".",".",".",".","."
"","012
101","23","3.614","60.9","4.3","26.1",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","101
013","24","2.957","20.8","20.8","25.0","4.2","20.8",".","4.2",".",".",".",".",".",".",".",".","4.2"
"","101
014","23","2.932","13.0","13.0","39.1","8.7","21.7",".",".",".","4.3",".",".",".",".",".",".","."
"","015
101","24","3.261","29.2","29.2","16.7","4.2","16.7",".",".",".",".",".",".",".",".","4.2",".","."
"","101
017","18","3.250","44.4","16.7","27.8",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","101
018","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
019","23","3.295","30.4","17.4","30.4","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","101
020","24","3.458","50.0","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","101
021","22","3.386","45.5","9.1","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
022","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
024","20","3.029","20.0","20.0","25.0","5.0","10.0",".","5.0","10.0",".",".",".",".",".",".","5.0","."
"First Year Spanish","Course Total","491","3.273","36.9","20.2","22.4","5.5","9.4","1.6","1.6","1.4","0.4",".",".",".",".","0.2","0.2","0.2"
"","102
001","16","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","17","3.147","47.1","23.5",".","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"","102
003","23","3.217","21.7","26.1","34.8","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","2.786","4.8","28.6","28.6","14.3","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","102
005","19","2.895","15.8","15.8","31.6","5.3","31.6",".",".",".",".",".",".",".",".",".",".","."
"","006
102","24","3.292","33.3","29.2","16.7","4.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","007
102","21","3.425","42.9","19.0","14.3","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","008
102","24","3.188","29.2","20.8","29.2","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","102
010","22","3.227","31.8","13.6","31.8","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
011","22","2.795","4.5","27.3","36.4","4.5","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","013
102","23","2.714","17.4","4.3","34.8","4.3","21.7","4.3","4.3","8.7",".",".",".",".",".",".",".","."
"","102
014","17","3.059","17.6","17.6","41.2","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","102
015","23","3.152","13.0","30.4","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
016","21","3.238","19.0","33.3","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
017","23","3.174","30.4","8.7","39.1","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","102
018","21","3.775","66.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","102
019","23","3.174","8.7","34.8","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","020
102","23","2.848","4.3","34.8","26.1","13.0","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","102
021","22","3.250","13.6","40.9","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","022
102","23","2.739","13.0","8.7","39.1","17.4","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","102
023","20","3.175","15.0","35.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
024","15","3.333","26.7","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
025","12","2.583",".","16.7","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 296 of 388",""
