"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","9","",".",".",".",".",".",".",".","44.4",".",".",".","55.6",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","97","",".",".",".",".",".",".",".","74.2",".",".",".","25.8",".",".",".","."
"991
Rsch-Social Psych Trainees","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992
Rsch:Trainee Pol, Cult, Soc","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research:Soc of Econ Chnge","001","","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"994
Colloq - Critical Sociology","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"995
Rsch: Methodology Trainees","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"997
Rsch-Demogrphy&Ecol Trainee","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 291 of 388",""
