"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","91","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","102","3.853","82.4","8.8","6.9","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","193","3.889","83.9","11.4","3.6","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","35","3.671","65.7","22.9","5.7","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"340
Assess Stdts-Special Needs","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421
Curr&Meth:Behav/Emo Dis,K-9","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"422
Curr&Mth:Behav/Emo Dis,6-12","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"423
Mgmt:Stdts-Behav/Emotnl Dis","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"425","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Behavrl/Emotnl Disabl","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"441
Curric&Meth: Intel Dis, K-9","004","","9","3.857","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"442
Curric&Meth:Intel Dis, 6-12","004","","7","3.700","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"445","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"445","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"445","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prac-Intellect Disabilities","Course Total","","13","3.850","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","41","3.561","53.7","26.8","12.2","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Rehab-Cnslg Psych: Foundatn","001","","35","3.386","22.9","37.1","34.3","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","16","3.344","25.0","43.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","47","3.755","59.6","31.9","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","24","3.688","50.0","41.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"630","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","30","3.744","80.0","16.7",".",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","36","3.795","83.3","13.9",".",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 79 of 388"
