"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
102","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","","9","3.333","22.2","44.4","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","18","3.472","27.8","50.0","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","103
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
002","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","14","3.500","21.4","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","147
001","","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","12","3.470","66.7","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
003","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
008","","11","3.750","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","029
201","","7","3.688","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","48","3.623","56.3","33.3","4.2","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
061","","10","3.643","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","6","3.533","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","069
205","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","36","3.720","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","032
215","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","063
219","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","223
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","223
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
