"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"M H R","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","0.000",".",".",".",".",".",".","100.0",".","",".",".","",".",".","",".",".",".","."
"Sophomore","4","2.750","25.0",".","50.0",".",".","25.0",".",".","",".",".","",".",".","",".",".",".","."
"Junior","440","3.032","18.4","13.4","44.3","7.5","13.9","1.1","0.7",".","",".",".","",".",".","",".","0.2","0.2","0.2"
"Senior","638","3.200","26.8","20.1","33.2","8.0","10.0","1.1","0.3","0.3","",".",".","",".",".","",".","0.2",".","."
"Undergraduates","1083","3.127","23.4","17.3","37.8","7.8","11.5","1.2","0.6","0.2","",".",".","",".",".","",".","0.2","0.1","0.1"
"Special","54","3.377","40.7","22.2","27.8","1.9","5.6",".","1.9",".","",".",".","",".",".","",".",".",".","."
"Graduate","629","3.651","50.4","30.5","16.5","0.3","0.2",".","0.3","1.1","",".",".","",".","0.5","",".",".",".","0.2"
"Prof Yr 1","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","4","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","8","3.591","62.5",".","37.5",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","13","3.455","38.5","15.4","46.2",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
