"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","119","2.863","11.8","20.2","30.3","18.5","10.9","5.0","1.7","0.8",".",".",".",".",".","0.8",".","."
"","201
002","79","2.886","12.7","20.3","29.1","20.3","12.7","3.8","1.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","198","2.872","12.1","20.2","29.8","19.2","11.6","4.5","1.5","0.5",".",".",".",".",".","0.5",".","."
"","202
001","16","3.067","18.8","18.8","31.3","6.3","18.8",".",".","6.3",".",".",".",".",".",".",".","."
"","002
202","19","3.211","26.3","31.6","21.1","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","003
202","22","3.091","18.2","9.1","59.1",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","202
004","19","3.158","31.6","10.5","36.8",".","21.1",".",".",".",".",".",".",".",".",".",".","."
"","202
005","18","3.139","16.7","16.7","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","94","3.134","22.3","17.0","39.4","7.4","11.7","1.1",".","1.1",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","001
214","19","3.000","10.5","26.3","36.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","303
001","14","3.143","21.4","21.4","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","303
002","20","2.868","10.0","30.0","15.0","15.0","20.0","5.0",".",".",".",".",".",".",".","5.0",".","."
"","003
303","22","2.932","18.2","22.7","22.7","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","56","2.964","16.1","25.0","21.4","14.3","17.9","3.6",".",".",".",".",".",".",".","1.8",".","."
"","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
001","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","9","3.000","11.1","11.1","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","44","3.091","11.4","29.5","34.1","15.9","9.1",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","18","3.000","33.3",".","27.8","11.1","27.8",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","25","2.625","16.0","20.0","16.0","20.0","8.0","4.0","12.0",".",".",".",".",".",".",".","4.0","."
"Composite Materials","508
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fatigue of Engr Materials","518
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Aerodynamics","521
001","14","2.929","7.1","21.4","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","24","2.792","4.2","12.5","41.7","20.8","20.8",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","20","3.425","30.0","35.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","601
001","10","3.350","50.0","10.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","33","3.350","33.3","15.2","36.4",".","3.0","3.0",".","6.1",".",".",".",".",".",".","3.0","."
"","699
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
