"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crit Perspectives-Human Ecol","150
001","","21","3.238","14.3","33.3","42.9","4.8","4.8",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Community Iss & Serv Learning","350
001","","15","3.733","73.3","13.3","6.7",".","6.7",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","","36","3.444","38.9","25.0","27.8","2.8","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","5","3.500","40.0","20.0","40.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.286","42.9","14.3","14.3","14.3","14.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.457","34.8","30.4","30.4",".","4.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","35","3.429","37.1","25.7","28.6","2.9","5.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","36","3.444","38.9","25.0","27.8","2.8","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
