"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","38","",".",".",".",".",".",".",".","71.1",".",".",".","28.9",".",".",".","."
"993
Independent Study-Nutrition","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"NUTR SCI
694","Dept. Total","","725","2.858","16.6","13.4","13.8","11.6","16.0","3.4","1.2","8.0",".","13.8","0.6","1.5",".",".","0.1","."
