"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","",""
"Social&Intel Hist 1200-1450","318","001","6","3.217","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Old English","320","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old Spanish","335","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Medieval Society","416","001","12","3.208","50.0","8.3","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"The Vikings","430","001","18","3.029",".","38.9","38.9","11.1",".","5.6",".",".",".",".",".",".",".","5.6",".","."
"Mediaeval Latin","563","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey German Lit to 1750","611","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","44","3.166","29.5","22.7","31.8","4.5","2.3","2.3","4.5",".",".",".",".",".",".","2.3",".","."
