"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","18","2.833","16.7","16.7","33.3","16.7","5.6","11.1",".",".","",".",".","",".",".","",".",".",".","."
"Junior","140","3.160","27.9","17.1","32.9","11.4","5.7","4.3",".","0.7","",".",".","",".",".","",".",".",".","."
"Senior","165","3.018","28.5","10.3","20.6","15.2","21.8","1.8","0.6","1.2","",".",".","",".",".","",".",".",".","."
"Undergraduates","326","3.074","27.3","13.5","27.3","13.5","13.8","3.4","0.3","0.9","",".",".","",".",".","",".",".",".","."
"Special","6","3.563","66.7","16.7",".","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","87","3.818","46.0","11.5","3.4",".",".",".",".","27.6","",".",".","",".","11.5","",".",".",".","."
"Prof Yr 1","138","2.854","14.5","15.2","19.6","29.7","18.1","0.7",".","0.7","",".","1.4","",".",".","",".",".",".","."
"Prof Yr 2","605","2.996","20.0","17.7","21.5","9.1","13.4","1.5","0.5",".","",".","16.4","",".",".","",".",".",".","."
"Prof Yr 3","199","2.911","12.1","14.6","36.7","22.6","13.1","1.0",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","942","2.944","17.5","16.7","24.4","15.0","14.0","1.3","0.3","0.1","",".","10.7","",".",".","",".",".",".","."
