"EDUCATIONAL PSYCHOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"","301","001","104","3.316","35.6","27.9","17.3","7.7","7.7","1.9","1.0",".",".",".",".",".","1.0",".",".","."
"","301","002","118","3.338","40.7","23.7","14.4","12.7","4.2","1.7","1.7","0.8",".",".",".",".",".",".",".","."
"","301","003","47","3.739","74.5","12.8","6.4",".","2.1",".","2.1","2.1",".",".",".",".",".",".",".","."
"Human Abilities & Learning","","Course Total","269","3.398","44.6","23.4","14.1","8.6","5.2","1.5","1.5","0.7",".",".",".",".","0.4",".",".","."
"","320","001","160","3.532","64.4","7.5","13.1","4.4","7.5","1.3","0.6","0.6",".",".",".",".","0.6",".",".","."
"","320","002","116","3.843","85.3","3.4","5.2","3.4","1.7",".",".",".",".",".",".",".",".","0.9",".","."
"Human Dev-Infancy&Childhood","","Course Total","276","3.665","73.2","5.8","9.8","4.0","5.1","0.7","0.4","0.4",".",".",".",".","0.4","0.4",".","."
"Human Develop-Adolescence","321","001","167","3.116","35.3","9.0","28.1","7.2","14.4","3.6","1.2","1.2",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331","001","48","3.885","91.7","6.3",".",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","521","001","71","3.570","38.0","45.1","9.9","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570","001","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Smr-Research in Ed Psych I","709","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","004","24","3.886","70.8","20.8",".",".",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"Current Topics-Ed Psych","","Course Total","36","3.912","69.4","13.9",".",".",".",".",".","13.9",".",".",".",".","2.8",".",".","."
"Theory & Issues-Human Dev","725","001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","760","001","66","3.516","43.9","13.6","37.9","1.5",".",".",".",".",".",".",".",".","1.5",".","1.5","."
"Intro: Dsgn-Ed Experiments","762","001","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Desgn&Anal-Rsch in Ed Psych","763","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861","001","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Theory I","870","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Child Development","920","001","9","3.739","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Adolescent Development","","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intervention Techniques","946","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
