"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","76","2.693","17.1","6.6","23.7","19.7","23.7","6.6","1.3","1.3",".",".",".",".",".",".",".","."
"","100","002","77","2.599","5.2","3.9","37.7","15.6","33.8","2.6",".","1.3",".",".",".",".",".",".",".","."
"General Geology","","Course Total","153","2.646","11.1","5.2","30.7","17.6","28.8","4.6","0.7","1.3",".",".",".",".",".",".",".","."
"","101","001","36","3.028","30.6","13.9","33.3","2.8","5.6","13.9",".",".",".",".",".",".",".",".",".","."
"","101","002","72","2.569","15.3","6.9","20.8","12.5","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","108","2.722","20.4","9.3","25.0","9.3","24.1","12.0",".",".",".",".",".",".",".",".",".","."
"","102","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Survey of Oceanography","105","001","29","3.267","34.5","10.3","41.4",".","13.8",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","91","2.626","18.7","7.7","24.2","16.5","18.7","9.9","4.4",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","46","3.250","45.7","13.0","15.2","6.5","15.2","4.3",".",".",".",".",".",".",".",".",".","."
"Geology of National Parks","109","001","83","2.793","16.9","19.3","25.3","14.5","8.4","12.0","2.4",".",".",".",".",".",".",".",".","1.2"
"Evolution and Extinction","110","001","166","2.605","11.4","1.8","42.8","1.2","34.9","7.2","0.6",".",".",".",".",".",".",".",".","."
"Volcanoes and Civilization","111","001","162","2.860","27.8","8.6","17.9","21.0","11.1","7.4","3.1","2.5",".",".",".",".",".",".","0.6","."
"Mountains and Moving Plates","112","001","95","3.081","22.1","14.7","41.1","11.6","3.2","3.2","2.1","2.1",".",".",".",".",".",".",".","."
"Geomorphology","320","001","20","2.842","20.0","5.0","35.0","5.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","35","2.985","22.9","14.3","28.6","11.4","17.1",".","2.9","2.9",".",".",".",".",".",".",".","."
"Introductory Geochemistry","375","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geology","376","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Geology","455","001","26","2.865","11.5","11.5","38.5","23.1","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","14","3.192","14.3","35.7","14.3","28.6",".",".",".","7.1",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","11","3.650","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Sedimentary Basins","530","001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Paleontology I","540","001","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Structural Petrology","557","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","28","2.875","14.3","21.4","25.0","17.9","17.9",".","3.6",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","6","3.842","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 211 of 388",""
