"NAVAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Naval Science","101
001","23","3.476","34.8","30.4","17.4","4.3","4.3",".",".",".",".",".",".",".","4.3","4.3",".","."
"Intro Naval Lab I","175
001","19","3.605","73.7","15.8",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Naval Leadership&Management","201
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Naval Lab I","275
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Navigation & Operations I","301
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amphibious Campaigns","350
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Naval Lab I","375
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Naval Weapons","401
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Naval Laboratory I","475
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Naval Lab I","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"NAV SCI
672","Dept. Total","110","3.733","70.9","17.3","6.4","0.9","1.8",".","0.9",".",".",".",".",".","0.9","0.9",".","."
