"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1195","3.477","48.4","22.8","16.2","6.4","2.9","1.5","0.1","1.5","",".",".","",".","0.1","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","2.935","23.9","17.4","23.9","13.0","10.9","10.9",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","172","3.169","25.0","26.2","24.4","14.0","8.1","1.7","0.6",".","",".",".","",".",".",".",".",".","."
"Junior","","255","3.256","29.0","25.9","27.1","11.0","4.7","2.4",".",".","",".",".","",".",".",".",".",".","."
"Senior","","234","3.511","52.1","19.7","18.4","6.0","1.3","1.7",".","0.4","",".",".","",".",".",".",".","0.4","."
"Undergraduates","","707","3.289","35.4","23.3","23.3","10.2","4.8","2.5","0.1","0.1","",".",".","",".",".",".",".","0.1","."
"Special","","29","3.654","62.1","13.8","13.8","3.4","3.4",".",".","3.4","",".",".","",".",".",".",".",".","."
"Graduate","","459","3.802","67.5","22.4","5.4","0.7",".",".",".","3.5","",".",".","",".","0.2","0.2",".",".","."
"","Dept. Total","1195","3.477","48.4","22.8","16.2","6.4","2.9","1.5","0.1","1.5","",".",".","",".","0.1","0.1",".","0.1","."
