"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","149","3.288","39.6","16.8","20.8","5.4","10.7","3.4",".","2.7",".",".",".",".",".",".","0.7","."
"Intro-Mus Cult of the World","103
001","","32","2.897","15.6","21.9","25.0","3.1","18.8","3.1","3.1","6.3",".",".",".",".",".","3.1",".","."
"The Symphony","106
001","","70","3.399","48.6","17.1","18.6","4.3","5.7","2.9","1.4","1.4",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","111
001","","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
111","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","43","3.860","76.7","18.6","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music in Performance","113
001","","491","3.907","86.6","5.1","2.2","0.8","0.6",".","0.4","4.1",".",".",".",".",".",".",".","0.2"
"","121
001","","33","3.045","12.1","24.2","42.4","9.1","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"","121
002","","46","3.163","19.6","21.7","41.3","15.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","","79","3.114","16.5","22.8","41.8","12.7","3.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","35","3.824","88.6",".","5.7",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"","171
101","","16","3.250","12.5","50.0","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","171
102","","17","3.382","17.6","52.9","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","","15","3.033","20.0","20.0","46.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","171
105","","17","3.441","23.5","47.1","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","79","3.316","21.5","40.5","29.1","5.1","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","301","3.477","33.6","34.2","15.9","7.0","2.7",".",".","5.6",".",".",".",".","0.3","0.3",".","0.3"
"Survey-Hist Western Music","211
001","","60","3.133","28.3","20.0","30.0","3.3","15.0","1.7","1.7",".",".",".",".",".",".",".",".","."
"","221
001","","29","3.224","24.1","34.5","13.8","17.2","10.3",".",".",".",".",".",".",".",".",".",".","."
"","002
221","","32","3.484","31.3","40.6","25.0",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","61","3.361","27.9","37.7","19.7","8.2","6.6",".",".",".",".",".",".",".",".",".",".","."
"Jewish Composers-Modern Era","236
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
264","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","36","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
265","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","267
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 253 of 388",""
