"","775
009","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","775
017","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","775
020","4","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","14","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"PATH-BIO
703","Dept. Total","538","3.339","20.6","30.3","30.7","7.4","2.4","",".","",".","8.2",".",".",".",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","5","4.000","20.0",".",".",".",".","",".","",".","80.0",".",".",".",".",".",".",".","."
"Prof Yr 2","","546","3.321","16.8","29.1","29.7","7.3","2.4","",".","",".",".",".",".",".","14.3","0.4",".",".","."
"Prof Yr 4","","60","3.615","21.7","6.7","5.0",".",".","",".","",".","66.7",".",".",".",".",".",".",".","."
"Professionals","","606","3.330","17.3","26.9","27.2","6.6","2.1","",".","",".","6.6",".",".",".","12.9","0.3",".",".","."
"","Dept. Total","616","3.339","18.0","26.5","26.8","6.5","2.1","",".","",".","7.1",".",".",".","12.7","0.3",".",".","."
