"","999
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"ENGLISH
350","Dept. Total","5730","3.309","27.0","27.7","23.2","7.5","3.5","0.8","1.2","1.6","0.0","6.6","0.1","0.5","0.2","0.2","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1720","3.281","23.8","33.5","23.7","8.9","3.0","1.0","1.5",".",".","4.3","0.1",".","0.1","0.2","0.1","."
"Sophomore","","1334","3.260","24.4","30.1","28.4","8.6","4.3","0.4","1.3",".",".","1.9",".",".","0.1","0.1",".","0.3"
"Junior","","1019","3.298","27.8","27.4","27.9","8.0","3.7","1.2","0.6","0.3",".","3.0",".",".",".","0.1",".","."
"Senior","","972","3.284","31.3","26.3","23.6","7.8","5.5","0.9","1.7","0.3",".","1.2","0.1",".","0.4","0.5",".","0.3"
"Undergraduates","","5045","3.279","26.2","30.0","25.7","8.4","4.0","0.9","1.3","0.1",".","2.8","0.0",".","0.2","0.2","0.0","0.1"
"Special","","136","3.510","19.1","18.4","8.8","1.5","1.5",".",".","2.9",".","45.6","0.7",".",".","0.7","0.7","."
"Graduate","","549","3.833","35.9","9.1","2.9","0.4",".",".",".","14.8","0.2","31.1",".","4.9","0.4","0.2",".","0.2"
"","Dept. Total","5730","3.309","27.0","27.7","23.2","7.5","3.5","0.8","1.2","1.6","0.0","6.6","0.1","0.5","0.2","0.2","0.0","0.1"
