"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","020","","11","",".",".",".",".",".",".",".","72.7",".",".",".","27.3",".",".",".","."
"990","027","","14","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","038","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","66","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","17","3.964","82.4","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".",".","."
