"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","73","3.466","43.8","27.4","20.5","5.5",".",".","2.7",".",".",".",".",".",".",".",".","."
"300","001","","40","3.488","27.5","42.5","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","26","3.712","42.3","57.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","21","3.738","47.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","35","3.800","82.9","11.4","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"300","006","","49","3.796","67.3","24.5","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","194","3.704","54.6","34.5","10.3",".",".",".","0.5",".",".",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"440
Education in Western Europe","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Social Issues and Education","001","","27","3.269","29.6","40.7","14.8","3.7",".",".","7.4",".",".",".",".",".","3.7",".",".","."
"540
Modern Philosophies of Ed","001","","13","3.375","23.1","23.1","46.2",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","11","3.550","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"701
Intro to Ed Policy Studies","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"765
Issues in Educ Policy Analysis","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","7","",".",".",".",".",".",".",".","42.9","14.3",".",".","42.9",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","34","",".",".",".",".",".",".",".","64.7","2.9",".",".","29.4","2.9",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
