"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"","101
001","49","2.542","8.2","12.2","28.6","16.3","20.4","6.1","6.1","2.0",".",".",".",".",".",".",".","."
"","002
101","79","2.230","6.3","2.5","20.3","13.9","39.2","6.3","7.6","3.8",".",".",".",".",".",".",".","."
"General Microbiology","Course Total","128","2.351","7.0","6.3","23.4","14.8","32.0","6.3","7.0","3.1",".",".",".",".",".",".",".","."
"","102
001","38","3.316","23.7","34.2","26.3","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"","002
102","38","3.224","26.3","31.6","18.4","13.2","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","76","3.270","25.0","32.9","22.4","13.2","5.3","1.3",".",".",".",".",".",".",".",".",".","."
"","299
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","13","3.906","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiology","303
001","232","2.815","15.5","13.4","23.7","26.3","15.5","4.7","0.9",".",".",".",".",".",".",".",".","."
"","304
001","32","3.109","25.0","21.9","25.0","12.5","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"","304
002","39","3.234","20.5","28.2","35.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","003
304","36","3.208","22.2","16.7","50.0","8.3",".","2.8",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","107","3.188","22.4","22.4","37.4","9.3","6.5","1.9",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","18","3.417","33.3","22.2","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","50","3.250","22.0","26.0","34.0","16.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Bacterial Genetics","370
001","48","2.904","20.8","10.4","22.9","20.8","20.8","2.1",".",".",".",".",".",".",".",".",".","2.1"
"Coord Intrnshp/Cooprtv Educ","399
074","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","88","3.506","47.7","21.6","25.0","2.3","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"","527
001","22","3.341","36.4","13.6","40.9",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","527
002","23","3.435","47.8","8.7","34.8",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","003
527","19","3.237","26.3","10.5","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","527
004","19","3.474","31.6","31.6","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","83","3.373","36.1","15.7","39.8","3.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Immunology","528
001","40","3.175","32.5","7.5","40.0","2.5","17.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Bacterial Genetics","607
001","48","3.500","22.9","54.2","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","36","3.444","38.9","22.2","30.6","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Plant-Bacterial Interactns","622
001","9","3.684","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fungal Ecol & Biotechnology","636
001","12","3.380","16.7","33.3","41.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","26","3.135","23.1","11.5","46.2","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 7 of 388"
