"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"623
Interior Design IV","001","","8","3.125","12.5","25.0","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"624
Portfolio Preparation","001","","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000A","","10","3.543","30.0","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","000B","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","13","3.519","23.1","61.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.643","37.0","44.4","3.7","3.7",".",".",".","7.4",".",".",".",".","3.7",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","6","3.889","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.917","66.7","11.1",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
