"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","108","3.065","20.4","25.0","26.9","10.2","13.9","3.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","33","3.818","75.8","12.1","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","48","2.917","12.5","29.2","18.8","25.0","8.3","4.2","2.1",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","48","3.177","29.2","25.0","18.8","14.6","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","58","3.316","36.2","20.7","24.1","10.3","3.4","3.4",".","1.7",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","114","3.159","15.8","32.5","31.6","13.2","2.6","3.5",".","0.9",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","77","2.981","20.8","11.7","32.5","23.4","6.5","5.2",".",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","74","3.712","64.9","10.8","23.0",".",".",".",".",".",".",".",".",".",".",".","1.4","."
"PreClin Obs-Chldrn & Adults","371","001","32","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Conservation","421","001","36","3.681","50.0","38.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","47","3.404","31.9","27.7","31.9","6.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Com Dis","455","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","510","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internet Resources-Com Dis","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","27","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","14","3.853","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","24","3.917","79.2","8.3","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","42","3.690","38.1","61.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","52","3.798","59.6","40.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731","001","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","15","3.917","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","16","3.912","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
