"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","177","2.734","13.6","16.9","19.8","19.2","23.2","6.2","1.1",".",".",".",".",".",".",".",".","."
"319
Ecol Prin Appl to Wildlife","001","","70","3.391","30.0","38.6","15.7","12.9",".",".","1.4",".",".",".",".",".",".","1.4",".","."
"360
Extinction of Species","001","","80","3.378","33.8","25.0","23.8","11.3","3.8",".",".","1.3",".",".",".",".",".",".","1.3","."
"375
Special Topics","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","48","2.979","10.4","29.2","20.8","20.8","16.7",".",".",".",".",".",".",".","2.1",".",".","."
"561
Wildlife Management Tech","001","","43","3.442","51.2","11.6","23.3","7.0","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Ecotoxcol:Tox Effect-Ecosys","001","","9","3.222","33.3","22.2","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.739","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Wildlife Ecol Teachng","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","28","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
