"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","349","2.997","20.9","22.1","21.2","13.5","16.9","3.4","0.6","1.1",".",".",".",".",".","0.3",".","."
"Contemporary Amer Society","125","001","275","3.011","14.2","22.9","32.7","16.4","11.3","1.5","0.7","0.4",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","002","110","3.038","21.8","14.5","29.1","18.2","14.5","0.9",".","0.9",".",".",".",".",".",".",".","."
"","134","001","415","3.068","15.7","22.4","37.3","12.3","8.4","1.7","0.7","1.0",".",".",".",".","0.2",".",".","0.2"
"","134","002","101","3.230","18.8","36.6","24.8","9.9","5.0","1.0","1.0","3.0",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","516","3.093","16.3","25.2","34.9","11.8","7.8","1.6","0.8","1.4",".",".",".",".","0.2",".",".","0.2"
"","138","001","90","3.079","26.7","21.1","23.3","12.2","8.9","5.6","1.1",".",".",".",".",".",".","1.1",".","."
"","138","002","97","3.795","74.2","14.4","4.1","3.1","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"The Sociology of Gender","","Course Total","187","3.448","51.3","17.6","13.4","7.5","5.3","2.7","0.5","1.1",".",".",".",".",".","0.5",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","154","2.863","17.5","18.8","22.7","18.8","14.3","4.5","2.6",".",".",".",".",".",".","0.6",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","199","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","090","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","102","3.348","29.4","28.4","25.5","10.8","3.9",".",".","1.0",".",".",".",".",".","1.0",".","."
"","215","001","18","2.719","11.1","11.1","27.8","16.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".","."
"","215","002","15","3.200","40.0","20.0","13.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","","Course Total","33","2.952","24.2","15.2","21.2","18.2","6.1","6.1","3.0","6.1",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","24","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225","001","15","3.107","20.0","6.7","46.7","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".","."
"Bascom Course","236","001","23","3.435","30.4","43.5","21.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","15","2.733","13.3","6.7","26.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".","."
"Organizations and Society","250","002","25","3.340","28.0","40.0","24.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","12","3.318","41.7","16.7","8.3","8.3","16.7",".",".",".",".",".",".",".",".","8.3",".","."
"Africa: Introductory Survey","277","001","27","3.346","22.2","29.6","37.0","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Honors Tutorial","288","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","001","36","3.335","22.2","41.7","25.0","8.3",".","2.8",".",".",".",".",".",".",".",".",".","."
"","357","002","36","3.361","25.0","33.3","30.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","357","003","34","3.426","52.9",".","29.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","357","004","30","3.217","26.7","33.3","20.0","10.0","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","","Course Total","136","3.339","31.6","27.2","26.5","11.0","2.2","0.7","0.7",".",".",".",".",".",".",".",".","."
"Dsgn&Analysis-Social Rsch","358","001","28","3.232","28.6","25.0","32.1","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Statis Analysis-Social Rsch","359","001","28","3.143","42.9","10.7","17.9","3.6","21.4",".","3.6",".",".",".",".",".",".",".",".","."
"","360","001","41","2.939","22.0","19.5","24.4","12.2","14.6","4.9","2.4",".",".",".",".",".",".",".",".","."
"","360","002","26","3.404","42.3","19.2","30.8",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","","Course Total","67","3.119","29.9","19.4","26.9","7.5","10.4","4.5","1.5",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","26","3.423","30.8","34.6","23.1","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","9","3.389","55.6",".","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365","001","19","3.526","26.3","57.9","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"20th c Hlth Care & Research","414","001","14","3.107","50.0","21.4","7.1",".",".","14.3","7.1",".",".",".",".",".",".",".",".","."
"Social Prob-Aging & Old Age","422","001","13","3.792","69.2","7.7","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 288 of 388",""
