"L&S","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","101
002","17","2.882","29.4","23.5","23.5",".","5.9","5.9","11.8",".",".",".",".",".",".",".",".","."
"","003
101","21","2.595","33.3","14.3","9.5",".","19.0","9.5","14.3",".",".",".",".",".",".",".",".","."
"","101
004","19","2.528","21.1",".","10.5","15.8","42.1",".","5.3","5.3",".",".",".",".",".",".",".","."
"","005
101","24","3.104","41.7","8.3","20.8","12.5","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"","101
006","20","2.725","20.0","10.0","30.0","5.0","20.0","15.0",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","101","2.780","29.7","10.9","18.8","6.9","18.8","6.9","6.9","1.0",".",".",".",".",".",".",".","."
"","201
001","16","3.250","43.8","12.5","12.5","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","201
002","24","3.021","20.8","4.2","45.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","40","3.113","30.0","7.5","32.5","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn&Compositn","225
001","10","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","8","3.471","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","9","3.571","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","001
301","24","3.630","54.2","16.7","20.8","4.2",".",".",".",".","4.2",".",".",".",".",".",".","."
"4th Yr Compositn&Conversatn","311
001","10","3.682","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Brazilian Civilization","362
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Portug Lit pre 1825","411
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Portuguese M.A. Proseminar","707
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Portuguese Literature","771
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Romance Philology","817
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","213","3.084","37.6","13.1","20.2","7.0","11.7","3.3","3.3","2.3","0.5","0.9",".",".",".",".",".","."
