"Greek Archaeology","435
001","40","3.205","25.0","32.5","17.5","12.5","5.0","5.0",".","2.5",".","",".",".","",".","",".","",".",".","."
"Greek & Roman Med & Phcy","561
001","14","3.536","71.4","7.1","7.1",".","7.1","7.1",".",".",".","",".",".","",".","",".","",".",".","."
"Directed Reading","699
020","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Ancient History","801
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","164","3.164","25.0","27.4","23.8","11.0","4.9","4.3","1.2","1.8","",".",".","",".","",".","",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","2.400",".","20.0",".","60.0",".","20.0",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","46","2.804","8.7","30.4","23.9","13.0","13.0","8.7","2.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","","64","3.297","28.1","28.1","34.4","3.1","3.1","1.6","1.6",".","",".",".","",".","",".","",".",".",".","."
"Senior","","42","3.359","33.3","26.2","14.3","16.7",".","2.4",".","4.8","",".",".","",".","",".","",".","2.4",".","."
"Undergraduates","","157","3.136","22.9","28.0","24.8","11.5","5.1","4.5","1.3","1.3","",".",".","",".","",".","",".","0.6",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","6","3.893","66.7","16.7",".",".",".",".",".","16.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","164","3.164","25.0","27.4","23.8","11.0","4.9","4.3","1.2","1.8","",".",".","",".","",".","",".","0.6",".","."
