"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","15","2.567","6.7",".","40.0","6.7","46.7",".",".",".",".",".",".",".",".",".",".","."
"","211
002","","36","2.903","19.4","19.4","22.2","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","51","2.804","15.7","13.7","27.5","9.8","29.4","3.9",".",".",".",".",".",".",".",".",".","."
"","250
001","","24","2.875","25.0","12.5","20.8","20.8","8.3","12.5",".",".",".",".",".",".",".",".",".","."
"","250
002","","42","2.690","9.5","9.5","38.1","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","66","2.758","15.2","10.6","31.8","16.7","15.2","10.6",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","001
311","","58","2.579","12.1","6.9","22.4","10.3","41.4","5.2",".","1.7",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","001
320","","83","3.018","13.3","22.9","32.5","16.9","12.0","1.2",".","1.2",".",".",".",".",".",".",".","."
"","324
002","","10","3.222","20.0","10.0","50.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","324
003","","11","3.091","18.2","45.5",".","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","7","3.071","14.3","42.9","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","35","3.118","20.0","28.6","22.9","5.7","20.0",".",".","2.9",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","001
326","","44","3.193","15.9","34.1","36.4","9.1","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","46","3.065","21.7","15.2","34.8","10.9","17.4",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","37","2.824","21.6","16.2","24.3","13.5","13.5","5.4","5.4",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","54","2.731","11.1","9.3","38.9","14.8","16.7","9.3",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","51","3.069","21.6","21.6","23.5","15.7","17.6",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","39","3.026","10.3","28.2","30.8","17.9","12.8",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540
001","","42","2.762","9.5","19.0","19.0","23.8","26.2","2.4",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","18","3.000","27.8","11.1","22.2","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","562
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
562","","19","3.119","5.3","36.8","31.6","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","24","3.088","4.2","29.2","45.8","4.2","12.5",".",".","4.2",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","","9","2.889","11.1","22.2","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","599
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","23","3.875","82.6",".","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","001
620","","24","3.391","33.3","16.7","37.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2","."
"Intmed Problems in ChE","001
660","","23","3.565","60.9","13.0","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 106 of 388",""
