"","CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Curric Dev-Desk Cmptr Envir","702","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curriculum Planning","704","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Eval Paradigms","714","001","","12","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Design of Rsch in Curric","715","001","","11","3.800","72.7",".","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Perspectvs-Multicultrl Educ","744","001","","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sex-Related Iss-Curric&Inst","760","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found & Prin of Music Ed","762","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Iss-Ed Communication Tech","800","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guidng&Directg-Sch Rdg Prog","805","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Goals,Content&Progm-Math Ed","810","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curricular Issues-Math Ed","812","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Dsgn of the Curric","830","001","","17","3.923","64.7","11.8",".",".",".",".",".",".",".",".",".",".","23.5",".",".","."
"Teachng Conceptl Change-Sci","832","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld-School Reading Programs","","Course Total","","12","3.700","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues-Elementary Education","855","001","","13","3.800","46.2","30.8",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"","916","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","916","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","916","003","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Spec Topics:Rsch&Eval-C&I","","Course Total","","34","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Smr-Rsch on Math Education","942","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pre&In-Service Ed-Teachers","950","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Science Education","960","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Reading","976","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"","990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"","990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","","9","",".",".",".",".",".",".",".","77.8",".",".",".",".","22.2",".",".","."
"","990","071","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"","990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","Page 88 of 388"
