"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Tech-Ordinary Diff Equation","Course Total","185","2.795","25.9","12.4","18.9","12.4","18.4","7.6","4.3",".",".",".",".",".",".",".",".","."
"","320
001","34","2.838","29.4","11.8","17.6","14.7","11.8","11.8","2.9",".",".",".",".",".",".",".",".","."
"","320
002","29","3.107","13.8","41.4","13.8","13.8","10.3","3.4",".","3.4",".",".",".",".",".",".",".","."
"","320
003","37","2.722","27.0","16.2","10.8","10.8","18.9","2.7","10.8",".",".",".",".",".",".","2.7",".","."
"","320
004","42","2.750","38.1","4.8","11.9","7.1","21.4","9.5","7.1",".",".",".",".",".",".",".",".","."
"","320
005","31","2.677","22.6","6.5","16.1","12.9","32.3","9.7",".",".",".",".",".",".",".",".",".","."
"","007
320","36","2.792","22.2","19.4","16.7","16.7","8.3","13.9","2.8",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","209","2.804","26.3","15.8","14.4","12.4","17.2","8.6","4.3","0.5",".",".",".",".",".","0.5",".","."
"","321
001","19","2.763","31.6","15.8","5.3","10.5","21.1","10.5","5.3",".",".",".",".",".",".",".",".","."
"","321
002","20","2.974","25.0","10.0","30.0","15.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","Course Total","39","2.868","28.2","12.8","17.9","12.8","15.4","5.1","5.1","2.6",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","001
322","11","2.545","18.2",".","27.3","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".","."
"","340
002","34","2.879","11.8","26.5","8.8","26.5","23.5",".",".","2.9",".",".",".",".",".",".",".","."
"","340
003","10","3.350","50.0","10.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","340
004","27","2.596","11.1","14.8","18.5","25.9","7.4","18.5",".","3.7",".",".",".",".",".",".",".","."
"","340
005","23","2.409","17.4","8.7","4.3","17.4","30.4","13.0","4.3","4.3",".",".",".",".",".",".",".","."
"","340
006","29","3.138","20.7","24.1","34.5","10.3","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"","007
340","30","2.793","23.3","13.3","10.0","13.3","30.0","6.7",".",".",".",".",".",".",".",".","3.3","."
"","008
340","24","2.935","20.8","20.8","16.7","8.3","25.0","4.2",".","4.2",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","177","2.840","19.2","18.1","15.8","16.4","20.3","6.8","0.6","2.3",".",".",".",".",".",".","0.6","."
"Appl Dyn Sys, Chaos&Modelng","415
001","17","3.933","82.4",".","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","431
001","28","3.036","21.4","17.9","25.0","17.9","17.9",".",".",".",".",".",".",".",".",".",".","."
"","002
431","32","2.734","18.8","15.6","25.0","12.5","15.6","6.3","6.3",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","60","2.875","20.0","16.7","25.0","15.0","16.7","3.3","3.3",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","001
441","11","2.455","9.1","18.2","27.3","18.2",".","18.2","9.1",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","9","3.278","44.4",".","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","23","3.217","34.8","26.1","13.0","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
002","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","Course Total","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
001","32","2.703","9.4","18.8","31.3","15.6","12.5","9.4","3.1",".",".",".",".",".",".",".",".","."
"","002
521","28","3.056","17.9","17.9","39.3",".","21.4",".",".","3.6",".",".",".",".",".",".",".","."
"Advanced Calculus","Course Total","60","2.864","13.3","18.3","35.0","8.3","16.7","5.0","1.7","1.7",".",".",".",".",".",".",".","."
"Linear Programming Methods","001
525","7","2.714","14.3","14.3","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".","."
"","541
001","20","2.925","30.0","10.0","20.0","15.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","541
002","11","3.500","36.4","45.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","31","3.129","32.3","22.6","16.1","9.7","16.1",".","3.2",".",".",".",".",".",".",".",".","."
"Elementary Topology","001
551","26","2.854","26.9","3.8","30.8",".","19.2","11.5",".","3.8",".",".",".",".",".",".","3.8","."
"Complex Analysis","623
001","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","12","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 246 of 388",""
