"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4518","2.936","27.6","14.3","20.3","12.1","17.5","4.7","1.5","1.6","0.0",".","",".","",".","0.1","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1216","2.590","15.0","11.8","17.8","15.4","28.3","8.6","3.0",".",".",".","",".","",".",".","0.1",".","0.1"
"Sophomore","","967","2.865","22.6","15.5","20.2","14.3","20.0","5.4","1.4",".","0.1",".","",".","",".",".","0.2",".","0.3"
"Junior","","1089","2.992","27.3","14.1","26.8","12.3","15.2","3.4","0.7",".",".",".","",".","",".",".","0.2",".","."
"Senior","","942","3.270","40.3","17.3","21.1","8.1","8.9","2.0","0.6","1.1",".",".","",".","",".","0.1","0.2","0.2","."
"Undergraduates","","4214","2.907","25.6","14.5","21.4","12.7","18.7","5.1","1.5","0.2","0.0",".","",".","",".","0.0","0.2","0.0","0.1"
"Special","","40","2.990","32.5","7.5","17.5","17.5","7.5",".","5.0","5.0",".",".","",".","",".",".","2.5","5.0","."
"Graduate","","257","3.834","59.9","12.5","1.9","1.6",".",".",".","23.0",".",".","",".","",".","0.8",".",".","0.4"
"Prof Yr 1","","4","3.625","75.0",".",".","25.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","3","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","7","3.357","42.9","14.3","14.3","28.6",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","4518","2.936","27.6","14.3","20.3","12.1","17.5","4.7","1.5","1.6","0.0",".","",".","",".","0.1","0.2","0.1","0.1"
