"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"560","001","","9","3.278","66.7","11.1",".",".",".","22.2",".",".",".",".",".",".",".",".",".","."
"560","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","13","3.500","76.9","7.7",".",".",".","15.4",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
