"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","17","3.441","35.3","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"212","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"212","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Scientifc Communicatn","Course Total","","2","***","","","","","","","","","","","","","","","",""
"430
Consumer Investgtv Reportng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"501","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","003","","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Special Topics","Course Total","","15","3.769","53.3","26.7","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"505
Publications Editing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","6","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"530
Print&Electronic Media Dsgn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","015","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"601","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"616
Mass Media and Youth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","71","3.433","29.6","23.9","21.1","9.9",".",".",".",".",".","12.7",".",".","2.8",".",".","."
