"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","112
001","20","2.275","15.0",".","25.0","5.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".","."
"","112
002","17","2.324","11.8","11.8","17.6","17.6","11.8","23.5","5.9",".",".",".",".",".",".",".",".","."
"","005
112","23","2.913","30.4","21.7","17.4","4.3","13.0","4.3","8.7",".",".",".",".",".",".",".",".","."
"","112
006","20","2.200","15.0","20.0",".",".","30.0","30.0","5.0",".",".",".",".",".",".",".",".","."
"","007
112","21","2.500","14.3","4.8","14.3","28.6","28.6","4.8","4.8",".",".",".",".",".",".",".",".","."
"","112
008","19","2.026","10.5","5.3","10.5","10.5","31.6","21.1","10.5",".",".",".",".",".",".",".",".","."
"","009
112","19","1.974","5.3",".","10.5","26.3","31.6","15.8","10.5",".",".",".",".",".",".",".",".","."
"","015
112","24","2.063","4.2","4.2","16.7","16.7","41.7",".","16.7",".",".",".",".",".",".",".",".","."
"","112
016","25","2.420","4.0","24.0","20.0","4.0","32.0","8.0","8.0",".",".",".",".",".",".",".",".","."
"","112
017","20","2.800","25.0","15.0","20.0","5.0","20.0","15.0",".",".",".",".",".",".",".",".",".","."
"","112
018","28","2.143","3.6",".","32.1","7.1","32.1","21.4","3.6",".",".",".",".",".",".",".",".","."
"","112
019","19","2.421","10.5","5.3","26.3","15.8","26.3","10.5","5.3",".",".",".",".",".",".",".",".","."
"","112
020","20","2.200","10.0",".","15.0","20.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"","112
023","18","2.194","11.1","11.1","16.7","5.6","27.8","16.7","11.1",".",".",".",".",".",".",".",".","."
"","112
027","23","2.022","13.0","4.3","17.4","8.7","17.4","26.1","13.0",".",".",".",".",".",".",".",".","."
"","112
028","22","2.727","13.6","27.3","13.6","9.1","27.3","4.5","4.5",".",".",".",".",".",".",".",".","."
"","029
112","28","2.554","14.3","7.1","35.7","10.7","14.3","10.7","7.1",".",".",".",".",".",".",".",".","."
"","112
030","23","2.500","13.0","4.3","30.4","8.7","34.8",".","8.7",".",".",".",".",".",".",".",".","."
"","112
031","19","2.342","15.8",".","5.3","15.8","57.9",".","5.3",".",".",".",".",".",".",".",".","."
"","112
032","22","2.841","22.7","18.2","22.7","4.5","18.2","13.6",".",".",".",".",".",".",".",".",".","."
"","034
112","19","2.368",".","10.5","26.3","21.1","31.6","5.3","5.3",".",".",".",".",".",".",".",".","."
"","035
112","29","2.276","17.2","3.4","13.8","10.3","31.0","17.2","6.9",".",".",".",".",".",".",".",".","."
"","112
036","23","2.478","8.7","21.7","13.0","13.0","26.1","13.0","4.3",".",".",".",".",".",".",".",".","."
"","112
037","23","2.457","13.0","13.0","8.7","8.7","43.5","13.0",".",".",".",".",".",".",".",".",".","."
"","112
038","22","1.591","9.1","9.1",".","9.1","22.7","22.7","27.3",".",".",".",".",".",".",".",".","."
"","039
112","21","2.405","14.3","9.5","23.8","4.8","28.6","9.5","9.5",".",".",".",".",".",".",".",".","."
"","112
045","20","2.525","15.0","20.0","10.0","15.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","046
112","23","2.630","17.4","8.7","34.8","4.3","21.7","4.3","8.7",".",".",".",".",".",".",".",".","."
"","047
112","23","2.174","4.3","13.0","8.7","4.3","52.2","13.0","4.3",".",".",".",".",".",".",".",".","."
"","112
048","23","2.348","8.7","8.7","13.0","17.4","39.1","8.7","4.3",".",".",".",".",".",".",".",".","."
"","112
049","19","2.368","10.5","5.3","15.8","15.8","36.8","15.8",".",".",".",".",".",".",".",".",".","."
"","056
112","19","2.895","21.1","10.5","21.1","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","112
057","25","2.640","16.0","12.0","20.0","20.0","20.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","058
112","19","2.139","5.3",".","21.1","15.8","31.6","15.8","5.3",".",".",".",".",".",".","5.3",".","."
"","112
059","14","2.714","21.4","14.3",".","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"","112
066","18","2.694","16.7","5.6","38.9",".","27.8","11.1",".",".",".",".",".",".",".",".",".","."
"","112
067","20","2.775","30.0",".","10.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".","."
"","112
068","12","2.708","16.7","16.7","8.3","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","802","2.405","13.2","9.6","17.7","12.7","28.6","11.7","6.4",".",".",".",".",".",".","0.1",".","."
"","001
113","16","3.000","31.3","6.3","31.3","18.8",".","12.5",".",".",".",".",".",".",".",".",".","."
"","113
004","30","1.917","10.0",".","10.0","16.7","26.7","26.7","10.0",".",".",".",".",".",".",".",".","."
"","113
005","16","2.531","12.5","6.3","37.5","12.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","011
113","14","2.357","14.3","7.1","35.7","7.1","7.1","14.3","14.3",".",".",".",".",".",".",".",".","."
"","113
012","20","2.200",".","15.0","25.0","15.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".","."
"","013
113","22","2.523","18.2","13.6","22.7","18.2","9.1",".","18.2",".",".",".",".",".",".",".",".","."
"","015
113","19","2.947","26.3",".","47.4","10.5","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 243 of 388",""
