"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","74","3.014","17.6","27.0","23.0","16.2","9.5","4.1","1.4","1.4",".",".",".",".",".",".",".","."
"","002
120","132","3.050","11.4","31.1","27.3","16.7","9.1","2.3",".","2.3",".",".",".",".",".",".",".","."
"","003
120","98","3.170","17.3","31.6","29.6","14.3","3.1","3.1",".",".",".",".",".",".",".",".",".","1.0"
"Science of Food","Course Total","304","3.080","14.8","30.3","27.0","15.8","7.2","3.0","0.3","1.3",".",".",".",".",".",".",".","0.3"
"Prof-Dietetics & Nutrition","200
001","38","",".",".",".",".",".",".",".","5.3",".","92.1","2.6",".",".",".",".","."
"Nature of Food","235
001","83","3.226","36.1","13.3","33.7","4.8","6.0","2.4","2.4","1.2",".",".",".",".",".",".",".","."
"","236
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
236","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","37","3.892","81.1","16.2","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Food Products","310
001","20","3.025","15.0","15.0","35.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","10","3.350","20.0","50.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","70","3.145","14.3","27.1","34.3","18.6","4.3",".",".","1.4",".",".",".",".",".",".",".","."
"Special Topics","375
001","15","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations","437
001","45","3.322","8.9","51.1","35.6","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","438
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001","11","2.955","27.3","9.1","18.2","36.4",".","9.1",".",".",".",".",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","16","3.281","18.8","37.5","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","21","2.976","14.3","19.0","23.8","33.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Food Enzymes","612
001","6","3.300",".","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","001
642","7","3.625","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","7","3.885","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem of the Food Lipids","710
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","3","***","","","","","","","","","","","","","","","",""
"Seminar Advanced","001
900","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 20 of 388"
