"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","21","3.571","33.3","52.4","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","17","3.235","23.5","35.3","17.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","003
100","16","3.438","31.3","43.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","3.395","21.1","36.8","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","101","3.475","34.7","36.6","20.8","5.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","001
111","21","2.976","33.3","4.8","28.6","9.5","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","12","3.292","16.7","41.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","18","3.528","33.3","50.0","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","001
212","21","3.476","42.9","19.0","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
212","12","3.208","33.3","41.7","8.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","212
005","16","3.200",".","37.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Intro-Scientific Communication","Course Total","49","3.323","26.5","30.6","32.7","4.1","2.0",".","2.0",".",".",".",".",".",".",".",".","2.0"
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.900","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","001
320","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","10","3.150","30.0","30.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
375","6","3.810","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
375","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","30","3.757","70.0","20.0","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"","399
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Consumer Investgtv Reportng","430
001","11","3.182","18.2","27.3","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","21","3.643","52.4","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","15","2.967","26.7","6.7","13.3","40.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","18","3.306","22.2","44.4","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","13","3.308","23.1","46.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
