"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","18","2.889","11.1","27.8","33.3","5.6","11.1","11.1","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","32","3.173","28.1","18.8","31.3","6.3","15.6",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","45","3.245","37.8","4.4","42.2","4.4","8.9","2.2","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","96","3.163","30.2","13.5","36.5","5.2","11.5","3.1","",".",".","",".",".","",".",".","",".",".",".","."
"Special","16","3.410","43.8","12.5","25.0","6.3","6.3",".","",".","6.3","",".",".","",".",".","",".",".",".","."
"Graduate","126","3.534","9.5","3.2","3.2",".",".",".","",".","73.8","",".",".","",".","10.3","",".",".",".","."
"Prof Yr 1","134","3.679","68.7",".","30.6",".","0.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","3","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","137","3.679","67.2",".","29.9",".","0.7",".","",".","2.2","",".",".","",".",".","",".",".",".","."
