"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","22","3.667","40.9","45.5","9.1",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"","116","002","","21","3.500","47.6","28.6","14.3",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"","116","003","","18","3.676","38.9","50.0","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","61","3.612","42.6","41.0","9.8",".",".",".","1.6","3.3",".",".",".",".",".","1.6",".","."
"Movement Activity Core","121","001","","25","3.140","16.0","24.0","40.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","21","3.881","85.7","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","37","3.918","91.9","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","30","3.383","23.3","43.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","41","3.500","22.0","56.1","22.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Education","316","001","","18","3.472","16.7","66.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","30","3.033","26.7","23.3","10.0","23.3","13.3",".","3.3",".",".",".",".",".",".",".",".","."
"","323","001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","323","003","","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","55","3.889","83.6","10.9","1.8",".","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Intro to Elem School Phy Ed","335","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","350","001","","57","3.096","19.3","31.6","28.1","5.3","10.5","3.5","1.8",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","45","3.689","53.3","31.1","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","30","3.467","30.0","40.0","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych Found-Sport&Phys Act","600","001","","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","49","3.306","30.6","24.5","28.6","8.2","8.2",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
