"","775
029","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
030","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
032","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","31","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"MED SC-V
623","Dept. Total","703","3.484","37.4","6.7","12.2","1.3","1.0","",".","",".","41.4",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","31","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","16","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","416","3.401","43.8","11.3","20.7","2.2","1.7","",".","",".","20.4",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","320","4.000","24.7",".",".",".",".","",".","",".","75.3",".",".",".","",".","",".",".",".","."
"Professionals","","783","3.482","33.3","6.0","11.0","1.1","0.9","",".","",".","47.6",".",".",".","",".","",".",".",".","."
"","Dept. Total","786","3.484","33.5","6.0","10.9","1.1","0.9","",".","",".","47.6",".",".",".","",".","",".",".",".","."
