"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","107","3.285","15.0","32.7","28.0","9.3","1.9",".",".","13.1",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","27","2.635","25.9",".","14.8","11.1","37.0","3.7","3.7","3.7",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","80","2.696","17.5","2.5","31.3","17.5","22.5","5.0","2.5","1.3",".",".",".",".",".",".",".","."
"The Folk Tale","220
001","19","3.421","42.1","26.3","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","21","2.921","19.0","19.0","19.0","14.3","9.5","9.5",".","9.5",".",".",".",".",".",".",".","."
"Folklore of Wisconsin","320
001","38","3.486","28.9","31.6","31.6",".",".",".",".","5.3",".",".",".",".","2.6",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","11","3.621","27.3","54.5","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Anthro Approach to Folklore","344
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indian Folklore","394
001","25","3.740","68.0","12.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","001
401","7","2.900","14.3","14.3","14.3",".","28.6",".",".","28.6",".",".",".",".",".",".",".","."
"African Poetry","411
001","15","3.367","40.0","40.0","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","20","3.618","35.0","35.0","15.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Seminar-American Folklore","630
001","12","3.818","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Independ Stdy-Folklore Grad","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","384","3.205","27.1","21.6","23.7","8.3","8.9","2.1","1.0","6.8",".",".",".",".","0.3",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.233","26.9","23.1","30.8","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Sophomore","","39","3.208","30.8","15.4","25.6","10.3","12.8",".","2.6","2.6",".",".",".",".",".",".",".","."
"Junior","","102","3.020","18.6","23.5","28.4","8.8","13.7","2.0","2.0","1.0",".",".",".",".","1.0",".",".","1.0"
"Senior","","203","3.267","29.1","22.2","21.2","7.9","6.9","2.5","0.5","9.9",".",".",".",".",".",".",".","."
"Undergraduates","","370","3.187","26.2","21.9","24.3","8.6","9.2","2.2","1.1","5.9",".",".",".",".","0.3",".",".","0.3"
"Special","","8","3.625","25.0","12.5","12.5",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","6","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","384","3.205","27.1","21.6","23.7","8.3","8.9","2.1","1.0","6.8",".",".",".",".","0.3",".",".","0.3"
