"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","6400","3.481","43.2","15.7","21.0","1.9","3.7","0.6","0.3","9.2","0.1","2.9",".","0.7","0.3","0.0","0.1","0.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.844","72.2",".","11.1",".",".","5.6",".",".",".",".",".",".",".","11.1",".","."
"Sophomore","","173","2.791","34.7","4.6","30.1","4.0","17.9","5.8","2.9",".",".",".",".",".",".",".",".","."
"Junior","","430","3.075","35.8","12.3","27.0","7.9","12.1","3.0","0.9","0.7","0.2",".",".",".",".",".",".","."
"Senior","","1026","3.358","44.5","17.5","24.5","4.5","6.1","1.2","1.0","0.5",".",".",".","0.1",".",".",".","0.1"
"Undergraduates","","1647","3.209","41.5","14.6","25.6","5.3","8.9","2.2","1.2","0.5","0.1",".",".","0.1",".","0.1",".","0.1"
"Special","","97","3.469","36.1","20.6","19.6","2.1","3.1","1.0",".","1.0",".",".",".",".","1.0",".",".","15.5"
"Graduate","","1538","3.624","30.3","15.3","9.9","0.7","0.5",".","0.1","26.8","0.1","12.0",".","2.9","1.1","0.1","0.1","0.1"
"Prof Yr 1","","678","3.539","47.2","1.9","24.6","0.4","4.6","0.1",".","21.1",".",".",".",".",".",".",".","."
"Prof Yr 2","","1002","3.534","57.4","1.2","37.2",".","3.5",".","0.1","0.3","0.1",".",".",".","0.1",".","0.1","."
"Prof Yr 3","","845","3.500","36.9","39.2","18.5","2.0","1.1",".",".","1.9","0.1",".",".",".","0.1",".","0.1","0.1"
"Prof Yr 4","","611","3.761","61.0","25.0","8.8","0.5","0.3",".","0.2","3.4",".",".",".","0.2",".",".","0.2","0.3"
"Professionals","","3136","3.568","50.4","16.2","23.9","0.7","2.5","0.0","0.1","5.8","0.1",".",".","0.0","0.1",".","0.1","0.1"
"","College Total","6418","3.481","43.1","15.7","20.9","1.9","3.6","0.6","0.3","9.4","0.1","2.9",".","0.7","0.3","0.0","0.1","0.3"
