"","990
019","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
020","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","57","",".",".",".",".",".",".",".","73.7",".",".",".","26.3","",".",".",".","."
"HORT
476","Dept. Total","355","3.169","30.1","11.8","21.4","5.6","11.3","0.8","0.8","13.8",".",".",".","4.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","2.816","27.3",".","31.8",".","36.4","4.5",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","41","2.835","14.6","9.8","41.5","9.8","22.0",".","2.4",".",".",".",".",".","",".",".",".","."
"Junior","","81","3.132","33.3","21.0","19.8","9.9","12.3","2.5","1.2",".",".",".",".",".","",".",".",".","."
"Senior","","101","3.319","46.5","8.9","23.8","7.9","10.9",".","1.0","1.0",".",".",".",".","",".",".",".","."
"Undergraduates","","245","3.114","35.1","12.2","26.1","8.2","15.5","1.2","1.2","0.4",".",".",".",".","",".",".",".","."
"Special","","4","3.143","50.0",".",".",".","25.0",".",".","25.0",".",".",".",".","",".",".",".","."
"Graduate","","106","3.487","17.9","11.3","11.3",".","0.9",".",".","44.3",".",".",".","14.2","",".",".",".","."
"","Dept. Total","355","3.169","30.1","11.8","21.4","5.6","11.3","0.8","0.8","13.8",".",".",".","4.2","",".",".",".","."
