"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
006","20","3.765","55.0","20.0","10.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","134
007","17","3.179","5.9","23.5","47.1","5.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","125","3.558","32.8","23.2","16.8","2.4","0.8",".",".","24.0",".",".",".",".",".",".",".","."
"","138
001","12","3.750","41.7","16.7","8.3",".",".",".",".","25.0",".",".",".",".","8.3",".",".","."
"","138
002","13","3.333","7.7","30.8","30.8",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"","138
003","18","3.308","5.6","33.3","33.3",".",".",".",".","22.2",".",".",".",".",".",".",".","5.6"
"","138
004","14","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","005
138","15","4.000","13.3",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"Golf I","Course Total","72","3.568","23.6","22.2","15.3",".",".",".",".","36.1",".",".",".",".","1.4",".",".","1.4"
"","140
001","11","3.750","36.4","9.1","9.1",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","140
002","18","3.500","27.8","5.6",".","5.6","5.6",".",".","55.6",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","29","3.607","31.0","6.9","3.4","3.4","3.4",".",".","51.7",".",".",".",".",".",".",".","."
"Ice Skating II","001
145","12","3.714","33.3","16.7","8.3",".",".",".",".","33.3",".",".",".",".",".","8.3",".","."
"","155
001","13","3.714","23.1","30.8",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","155
002","20","3.474","15.0","60.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Badminton I","Course Total","33","3.538","18.2","48.5","12.1",".",".",".",".","21.2",".",".",".",".",".",".",".","."
"","157
001","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","157
002","20","3.556","30.0","40.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","157
003","20","3.375","30.0","25.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","51","3.459","31.4","29.4","31.4","3.9",".",".",".","3.9",".",".",".",".",".",".",".","."
"","162
001","20","3.333","20.0","20.0",".",".",".",".","5.0","55.0",".",".",".",".",".",".",".","."
"","162
002","13","3.625","30.8","15.4","15.4",".",".",".",".","30.8","7.7",".",".",".",".",".",".","."
"","162
003","16","3.643","43.8","25.0","18.8",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","162
004","14","3.650","35.7","21.4","14.3",".",".",".",".","21.4",".",".",".",".",".",".",".","7.1"
"Tennis I","Course Total","63","3.573","31.7","20.6","11.1",".",".",".","1.6","31.7","1.6",".",".",".",".",".",".","1.6"
"","163
001","14","3.208","28.6",".","35.7","21.4",".",".",".","14.3",".",".",".",".",".",".",".","."
"","163
002","13","3.889","53.8","15.4",".",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"","003
163","16","3.786","31.3","6.3","6.3",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","43","3.571","37.2","7.0","14.0","7.0",".",".",".","34.9",".",".",".",".",".",".",".","."
"Basketball I","170
001","18","3.471","38.9","16.7","33.3","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Soccer I","173
001","23","3.500","30.4","39.1","21.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","175
001","28","3.900","78.6","3.6","7.1",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"","002
175","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","47","3.886","80.9","4.3","8.5",".",".",".",".","6.4",".",".",".",".",".",".",".","."
"Softball","179
001","18","3.636","27.8","22.2","11.1",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","201
001","12","3.571","16.7","33.3","8.3",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"","002
201","13","3.833","46.2","23.1",".",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","25","3.719","32.0","28.0","4.0",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"","211
001","20","3.875","60.0","20.0",".",".",".",".",".","15.0",".",".",".",".",".",".","5.0","."
"","211
002","23","3.868","69.6","4.3","8.7",".",".",".",".","13.0",".",".",".",".",".","4.3",".","."
"Intro to Martial Arts","Course Total","43","3.871","65.1","11.6","4.7",".",".",".",".","14.0",".",".",".",".",".","2.3","2.3","."
"Weight Training II","232
001","19","3.588","36.8","31.6","21.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Golf II","238
001","9","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
