"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","007","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"940","009","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","010","","11","3.227","36.4","27.3","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"940","011","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","012","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","014","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","015","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"940","016","","45","3.648","64.4","15.6","17.8",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"940","017","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","019","","20","3.575","35.0","55.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"940","020","","8","3.429","12.5","50.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"940","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","028","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","260","3.655","47.3","21.9","11.5",".","0.4",".","1.2","17.7",".",".",".",".",".",".",".","."
"946
Probs-Substan Criminal Law","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Problems-Poverty Law Smr","001","","26","3.750","53.8","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"974
Law & Economics-Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"982
Latin Amer Legal Institutns","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Probs in Consumer Law-Smr","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"988","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"988","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Probs-Envrnmtl Law","Course Total","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 318 of 388",""
