"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","",""
"Topics in Jewish Studies","202
001","23","3.087","8.7","30.4","34.8","21.7","4.3",".",".",".",".","",".",".","",".","",".","",".",".","."
"Intro to Biblical Lit","227
001","23","2.848","17.4","13.0","30.4","8.7","26.1","4.3",".",".",".","",".",".","",".","",".","",".",".","."
"Jewish Composers-Modern Era","236
001","7","3.357","42.9",".","42.9","14.3",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Biblical Poetry in Translation","237
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intro-Biblical Archaeology","241
001","15","3.318","6.7","33.3","33.3",".",".",".",".","26.7",".","",".",".","",".","",".","",".",".","."
"In Tran:Yiddsh Lit-E Europe","269
001","36","3.417","8.3","72.2","16.7",".","2.8",".",".",".",".","",".",".","",".","",".","",".",".","."
"Jewish Cultural History","369
001","77","3.147","15.6","28.6","29.9","9.1","6.5","1.3","1.3","7.8",".","",".",".","",".","",".","",".",".","."
"Topics-Jewish Civilization","371
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"JEWISH
510","Dept. Total","199","3.215","19.1","32.7","27.1","7.5","6.5","1.5","0.5","5.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","2.786","6.7","20.0","33.3","13.3","20.0","6.7",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","62","3.163","14.5","37.1","24.2","4.8","12.9","1.6",".","4.8","",".",".","",".","",".","",".",".",".","."
"Junior","","61","3.291","16.4","44.3","26.2","8.2","1.6","1.6",".","1.6","",".",".","",".","",".","",".",".",".","."
"Senior","","59","3.302","28.8","20.3","28.8","8.5","1.7",".","1.7","10.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","197","3.212","18.8","33.0","26.9","7.6","6.6","1.5","0.5","5.1","",".",".","",".","",".","",".",".",".","."
"Special","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","199","3.215","19.1","32.7","27.1","7.5","6.5","1.5","0.5","5.0","",".",".","",".","",".","",".",".",".","."
