"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","37","3.825","70.3","18.9","2.7","5.4",".",".",".","2.7",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","175","3.380","18.9","46.9","25.7","4.6","1.1",".","0.6","1.1",".",".",".",".",".",".",".","1.1"
"","400
002","","8","3.882","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","","12","3.474","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","","7","3.844","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
007","","12","3.871","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
400","","9","3.950","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","","7","3.790","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","77","3.826","72.7","20.8","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Prob-Aging & Old Age","422
001","","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
440","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","","75","3.900","82.7","14.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","458
001","","71","3.915","83.1","16.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","001
605","","36","3.931","88.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","107","3.778","72.0","16.8","6.5","0.9","2.8",".",".","0.9",".",".",".",".",".",".",".","."
"Social Work and Adolescents","001
642","","32","3.683","56.3","28.1","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","33","3.448","42.4","15.2","33.3","6.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"","644
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Welfare-Devel Disabilts","Course Total","","36","3.479","44.4","16.7","30.6","5.6",".",".",".",".",".",".",".",".","2.8",".",".","."
"American Indian Affairs","658
001","","25","3.713","68.0","16.0",".",".",".",".","4.0","8.0",".",".",".",".","4.0",".",".","."
"Topics-Contemp Soc Welfare","664
001","","18","3.882","83.3",".","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Topics-Family Violence","670
001","","39","3.145","25.6","30.8","17.9","12.8","5.1",".","5.1","2.6",".",".",".",".",".",".",".","."
"Senior Thesis","692
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","021
699","","17","3.938","88.2",".","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","3.919","86.4","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Human Behavior & Environmnt","711
001","","34","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","","24","3.891","75.0","20.8",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
