"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","97","2.923","15.5","21.6","28.9","18.6","9.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"","153
001","15","3.100","13.3","46.7","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","153
002","15","3.300","40.0","13.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Clothing Const I","Course Total","30","3.200","26.7","30.0","16.7","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221
001","76","3.007","17.1","18.4","30.3","22.4","9.2","2.6",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","34","3.515","41.2","38.2","5.9","11.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","001
227","15","3.536","33.3","33.3","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Textile Design:Structural I","228
001","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","10","3.250","30.0","10.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","13","3.000","15.4",".","61.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Flat Patt&Drapng","Course Total","23","3.109","21.7","4.3","52.2","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.571","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"Design: Sketching&Rendering","320
001","19","3.263","21.1","36.8","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322
001","32","3.281","18.8","28.1","43.8","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323
002","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355
001","40","3.145","27.5","20.0","25.0","7.5","12.5",".","2.5","5.0",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363
001","6","3.000",".","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421
001","40","3.138","30.0","10.0","32.5","12.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design II","001
425","16","3.000","18.8","25.0","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430
001","21","3.300","42.9","9.5","19.0","9.5","14.3",".",".",".",".",".",".",".",".","4.8",".","."
"Color Theory and Technology","451
001","17","2.912","17.6","17.6","29.4","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","501
001","21","3.571","42.9","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","17","3.438","17.6","47.1","29.4",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","006
501","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","007
501","18","3.139","33.3","11.1","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","501
008","19","3.447","42.1","21.1","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","501
009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
010","37","3.014","32.4","24.3","13.5","5.4","10.8","10.8","2.7",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","127","3.448","38.6","25.2","19.7","6.3","4.7","3.9","0.8",".",".",".",".",".",".","0.8",".","."
"Environmental Aesthetics","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
015","17","3.802","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","19","3.827","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
