"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","310
002","43","3.442","41.9","23.3","20.9","9.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Managerial Cost Accounting","Course Total","79","3.424","45.6","21.5","17.7","7.6","5.1","2.5",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","14","2.750","7.1","21.4","14.3","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","340
001","25","3.160","20.0","20.0","40.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","002
340","27","3.167","22.2","14.8","51.9","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","340
003","27","3.111","11.1","18.5","55.6","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","79","3.146","17.7","17.7","49.4","8.9","5.1","1.3",".",".",".",".",".",".",".",".",".","."
"","399
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","2","***","","","","","","","","","","","","","","","",""
"","001
406","21","3.071","14.3","23.8","33.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","002
406","36","3.042","22.2","11.1","38.9","13.9","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","57","3.053","19.3","15.8","36.8","15.8","10.5","1.8",".",".",".",".",".",".",".",".",".","."
"","603
001","23","3.682","43.5","43.5","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","603
002","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","Course Total","42","3.671","45.2","40.5","11.9",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","620
001","26","3.096","11.5","30.8","46.2","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","620
002","23","2.913","8.7","30.4","26.1","21.7","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","49","3.010","10.2","30.6","36.7","12.2","4.1","4.1","2.0",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","001
621","19","3.237","26.3","26.3","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","630
001","42","3.155","26.2","21.4","31.0","9.5","7.1","4.8",".",".",".",".",".",".",".",".",".","."
"","630
002","35","3.371","40.0","11.4","37.1","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"","003
630","37","3.095","18.9","13.5","37.8","27.0","2.7",".",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","114","3.202","28.1","15.8","35.1","14.0","5.3","1.8",".",".",".",".",".",".",".",".",".","."
"","700
001","54","3.343","14.8","38.9","46.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","55","3.300","9.1","47.3","40.0","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","003
700","46","3.641","52.2","23.9","23.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","155","3.416","23.9","37.4","37.4","0.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
001","14","3.808","71.4","7.1","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","702
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
706","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","26","3.519","38.5","26.9","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","36","3.529","38.9","30.6","22.2","5.6",".",".",".","2.8",".",".",".",".",".",".",".","."
"","002
710","21","3.500","42.9","19.0","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","57","3.518","40.4","26.3","26.3","5.3",".",".",".","1.8",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","39","3.654","41.0","48.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","58","3.707","50.0","41.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
