"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","180","2.899","13.9","19.4","28.9","16.1","17.8","2.2","1.1",".",".",".",".",".",".",".",".","0.6"
"","002
100","177","2.994","19.2","19.8","33.3","10.7","10.7","3.4","2.3","0.6",".",".",".",".",".",".",".","."
"General Anthropology","Course Total","357","2.946","16.5","19.6","31.1","13.4","14.3","2.8","1.7","0.3",".",".",".",".",".",".",".","0.3"
"Archaeology & Prehist World","001
102","120","2.756","15.8","12.5","28.3","5.8","31.7","3.3","1.7",".",".",".",".",".",".","0.8",".","."
"Cult Anthro&Human Diversity","104
001","542","3.501","32.3","42.3","18.6","2.8","1.3","0.6","0.2","1.7",".",".",".",".","0.4",".",".","."
"Intro Human Biology","105
001","223","2.846","17.9","17.9","26.5","10.8","17.5","6.3","2.2",".",".",".",".",".",".","0.4",".","0.4"
"Principles of Archaeology","112
001","55","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","41","3.000","2.4","36.6","31.7","22.0","2.4",".","2.4","2.4",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","64","3.262","29.7","20.3","35.9","6.3","3.1","1.6","1.6","1.6",".",".",".",".",".",".",".","."
"","301
001","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","Course Total","17","3.471","23.5","52.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310
001","23","3.043","26.1","17.4","21.7","26.1","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311
001","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322
001","82","3.259","36.6","15.9","17.1","17.1","8.5","1.2",".",".",".",".",".",".",".",".","3.7","."
"","330
001","26","3.409","46.2","19.2","19.2","3.8",".","3.8","3.8",".",".",".",".",".",".",".",".","3.8"
"","330
002","11","3.786","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Topics in Ethnology","Course Total","37","3.516","51.4","18.9","16.2","2.7",".","2.7","2.7",".",".",".",".",".",".",".",".","5.4"
"Anthro Approach to Folklore","344
001","22","3.727","63.6","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Nonhuman Primates","408
001","48","3.854","77.1","16.7","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","9","3.167","44.4","11.1","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Anthropology of South Asia","462
001","18","3.471","33.3","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Ecological Anthropology","470
001","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002","21","3.476","23.8","47.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","31","3.565","35.5","41.9","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","690
001","17","3.647","64.7","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","690
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Anthropology","Course Total","30","3.772","76.7","13.3","6.7",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"","691
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
