"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","346
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Typogphy&Graphic Dsgn","Course Total","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","15","3.512","40.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","12","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","24","3.688","54.2","37.5",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","8","3.413","12.5","50.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","376
001","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","18","3.536","50.0","27.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","36","3.656","55.6","30.6","5.6","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","001
412","","7","3.429","57.1","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","412
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","9","3.556","66.7","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Installations & Environmnts","418
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","","10","3.150","40.0","10.0","40.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
448","","13","3.871","69.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","448
003","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","","12","3.829","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","","8","3.071","12.5","62.5",".",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"","448
007","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","87","3.810","73.6","18.4","4.6",".",".",".","1.1",".",".",".",".",".","2.3",".",".","."
"Figure Painting","452
001","","11","3.455","54.5","18.2","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522
001","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","","6","3.647","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","001
528","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","534
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","534
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","Course Total","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
