"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","376","002","","67","3.432","37.3","29.9","19.4","4.5","7.5",".",".","1.5",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","","Course Total","","142","3.288","31.7","27.5","16.9","10.6","10.6","0.7",".","2.1",".",".",".",".",".",".",".","."
"","377","001","","54","2.877","22.2","18.5","16.7","20.4","7.4","13.0",".","1.9",".",".",".",".",".",".",".","."
"","377","002","","40","2.675","20.0","10.0","20.0","15.0","22.5","10.0","2.5",".",".",".",".",".",".",".",".","."
"","377","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","","Course Total","","97","2.803","21.6","14.4","17.5","17.5","13.4","11.3","1.0","2.1",".",".",".",".","1.0",".",".","."
"","399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro Feedback Control Lab","409","001","","16","3.625","56.3","12.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411","001","","29","3.036","20.7","17.2","31.0","10.3","13.8","3.4",".","3.4",".",".",".",".",".",".",".","."
"","411","002","","14","3.167","7.1","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".","35.7",".",".","."
"Intro to Electric Drive Sys","","Course Total","","43","3.068","16.3","20.9","25.6","9.3","11.6","2.3",".","2.3",".",".",".",".","11.6",".",".","."
"Electromag Wave Transmissn","420","001","","23","3.182","26.1","30.4","17.4","13.0","4.3",".","4.3","4.3",".",".",".",".",".",".",".","."
"Electric Power Systems","427","001","","23","3.522","39.1","30.4","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","47","3.021","17.0","27.7","27.7","6.4","17.0","4.3",".",".",".",".",".",".",".",".",".","."
"Analog Communicatn Systems","436","001","","23","3.109","34.8","17.4","21.7","4.3","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444","001","","14","3.346","28.6","35.7","7.1","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","12","3.083","25.0","16.7","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","27","3.870","85.2","11.1",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","491","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Power Electronics Lab","512","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Image Processing","533","001","","26","3.313","34.6","19.2","23.1",".","15.4",".",".","3.8",".",".",".",".",".",".","3.8","."
"Optical Fiber Communication","535","001","","16","3.600","43.8","37.5","6.3",".","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"","539","001","","9","3.313","44.4","33.3",".",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"","539","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","","Course Total","","14","3.500","50.0","21.4",".",".",".",".","7.1",".",".",".",".",".","21.4",".",".","."
"Integrated Circuit Design","548","001","","15","3.250","6.7","40.0","40.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","552","001","","17","3.000","23.5","23.5","5.9","11.8","29.4",".",".","5.9",".",".",".",".",".",".",".","."
"","552","002","","48","3.333","35.4","29.2","18.8","8.3","6.3",".","2.1",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","65","3.250","32.3","27.7","15.4","9.2","12.3",".","1.5","1.5",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","","36","3.236","38.9","13.9","27.8","11.1","2.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","20","3.575","50.0","25.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","602","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Error-Correctng Codes","641","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
