"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","173","2.881","10.4","21.4","33.5","18.5","10.4","2.3","2.9",".",".",".",".",".",".",".","0.6","."
"","120","001","154","2.817","13.0","22.7","24.7","12.3","18.2","7.1","1.3",".",".",".",".",".",".","0.6",".","."
"","120","002","107","2.977","13.1","21.5","34.6","16.8","11.2","1.9","0.9",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","261","2.883","13.0","22.2","28.7","14.2","15.3","5.0","1.1",".",".",".",".",".",".","0.4",".","."
"","121","001","39","2.821","5.1","33.3","10.3","33.3","15.4",".","2.6",".",".",".",".",".",".",".",".","."
"","121","002","23","2.500",".","4.3","34.8","21.7","21.7",".","4.3",".",".",".",".",".","4.3","4.3",".","4.3"
"Atmspherc Envirnmnt&Society","","Course Total","62","2.712","3.2","22.6","19.4","29.0","17.7",".","3.2",".",".",".",".",".","1.6","1.6",".","1.6"
"","127","001","150","2.860","13.3","15.3","36.7","15.3","12.7","5.3","1.3",".",".",".",".",".",".",".",".","."
"","127","002","195","2.828","13.3","20.0","29.7","13.3","15.4","6.2","2.1",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","345","2.842","13.3","18.0","32.8","14.2","14.2","5.8","1.7",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","27","3.385","25.9","40.7","14.8","11.1","3.7",".",".",".",".",".",".",".",".",".","3.7","."
"Soil: Ecosystem & Resource","230","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236","001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","23","2.576","17.4","13.0","21.7",".","34.8","8.7","4.3",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","8","2.125",".",".","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","67","3.148","23.9","16.4","28.4","17.9","9.0",".",".","3.0",".",".",".",".",".",".",".","1.5"
"Geog,Politics&Territorialty","318","001","48","3.138","25.0","20.8","33.3","6.3","8.3","2.1","2.1",".",".",".",".",".",".",".","2.1","."
"Geomorphology","320","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","51","3.204","39.2","7.8","27.5","3.9","13.7","3.9",".","3.9",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","18","2.765","16.7","11.1","22.2","22.2","16.7",".","5.6",".",".",".",".",".",".",".","5.6","."
"Vegetation:Stability&Change","338","001","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","339","001","59","2.598","13.6","11.9","25.4","10.2","28.8","5.1","5.1",".",".",".",".",".",".",".",".","."
"","339","002","33","2.641","21.2",".","33.3","9.1","24.2","9.1","3.0",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","92","2.613","16.3","7.6","28.3","9.8","27.2","6.5","4.3",".",".",".",".",".",".",".",".","."
"Europe","349","001","55","3.330","25.5","36.4","20.0","12.7",".",".","1.8","3.6",".",".",".",".",".",".",".","."
"Russia & NIS-Topical Anal","353","001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","39","3.359","46.2","12.8","20.5","12.8","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","365","001","19","2.921","15.8","5.3","42.1","21.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","37","3.250","40.5","13.5","16.2","18.9","5.4",".","2.7",".",".",".",".",".","2.7",".",".","."
"History of Cartography","371","001","14","3.107","21.4","28.6","35.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","50","3.071","26.0","10.0","36.0","12.0","12.0",".","2.0",".",".",".",".",".",".",".","2.0","."
"Space&Place-A Geog Expernce","501","001","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Envr Geog&Cnsrv-Devlp Cntry","535","001","33","3.485","42.4","24.2","21.2","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","33","3.159","30.3","18.2","36.4",".","9.1","6.1",".",".",".",".",".",".",".",".",".","."
"Social Geog-Asian Cities","558","001","22","3.523","40.9","27.3","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
