"INDUSTRIAL RELATIONS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","",""
"453
Collect Bargaing&Pub Policy","001","","24","3.313","37.5","20.8","33.3",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"698
Directed Study","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Ind Rel Research Methods I","001","","14","3.429","42.9","14.3","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"705
Industrial Relations Theory","001","","12","3.545","33.3","33.3","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"798","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tutorial","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Directed Study","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"928
Smr-Intnl & Comprtv Ind Rel","001","","13","3.667","30.8","61.5",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"960","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wrkshp Ind Rel Rsch","Course Total","","6","3.667","33.3",".","16.7",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990
Research and Thesis","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"IND REL
492","Dept. Total","","83","3.510","38.6","24.1","20.5",".","2.4",".","1.2","7.2",".",".",".","2.4","2.4",".","1.2","."
