"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"132
Earth Water:Nat Sci&Hum Use","001","","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"230
Soil: Ecosystem & Resource","001","","47","2.585","21.3","19.1","14.9","12.8","10.6","8.5","12.8",".",".",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"301
General Soil Science","001","","56","3.055","21.4","17.9","32.1","14.3","8.9","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"305
Field Study of Soil","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","11","3.500","54.5","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","22","3.386","27.3","36.4","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","18","3.694","66.7","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","11","3.045","27.3","9.1","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"334
Nutrnt Mgmt:Agronomic Crops","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Senior Seminar","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","22","3.738","59.1","22.7","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"606
Colloquium in Env Tox","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"622
Soil Physics","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","30","3.625","3.3","10.0",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","78.8",".",".",".","21.2",".",".",".","."
