"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"506
Advanced Telugu","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Intmed Rdg-Buddhist Chinese","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"531
Tibetan Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Poetry in Hindi: 1500-1700","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"691","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.846","62.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"852
Civs of India-Modern Period","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"864
Indo-Tibet Buddhst Doctrine","001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"915
Smr:Intrdis Approach-S Asia","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"990","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","30","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
