"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","267","3.227","27.3","12.4","42.7","13.5","3.4","0.4",".","0.4",".",".",".",".",".",".",".","."
"","300
002","268","3.079","20.1","8.2","48.1","14.2","7.8","0.7",".","0.4",".",".",".",".","0.4",".",".","."
"Introduction to Finance","Course Total","535","3.153","23.7","10.3","45.4","13.8","5.6","0.6",".","0.4",".",".",".",".","0.2",".",".","."
"Finc Mrkts,Instns&Econ Actv","305
001","51","3.080","17.6","13.7","41.2","17.6","7.8",".",".","2.0",".",".",".",".",".",".",".","."
"","320
001","64","3.031","12.5","31.3","26.6","15.6","10.9","3.1",".",".",".",".",".",".",".",".",".","."
"","002
320","86","3.094","16.3","31.4","22.1","15.1","12.8","1.2",".",".",".",".",".",".",".",".","1.2","."
"Investments","Course Total","150","3.067","14.7","31.3","24.0","15.3","12.0","2.0",".",".",".",".",".",".",".",".","0.7","."
"","325
001","51","2.930","5.9","11.8","47.1","29.4","3.9",".",".","2.0",".",".",".",".",".",".",".","."
"","325
002","48","3.354","25.0","35.4","25.0","14.6",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","99","3.138","15.2","23.2","36.4","22.2","2.0",".",".","1.0",".",".",".",".",".",".",".","."
"","399
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","7","3.923","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","47","3.191","21.3","25.5","34.0","8.5","10.6",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
001","46","3.444","34.8","34.8","17.4","4.3","6.5",".",".","2.2",".",".",".",".",".",".",".","."
"","002
630","46","3.576","41.3","34.8","21.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","92","3.511","38.0","34.8","19.6","3.3","3.3",".",".","1.1",".",".",".",".",".",".",".","."
"Security Analysis","635
001","31","3.468","38.7","22.6","35.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","700
001","45","3.422","17.8","48.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","32","3.500","28.1","43.8","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","29","3.466","27.6","41.4","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","106","3.458","23.6","45.3","30.2","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","14","3.577","35.7","35.7","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","27","3.385","25.9","25.9","40.7","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","52","3.260","25.0","28.8","25.0","15.4","5.8",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
002","38","3.474","21.1","55.3","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Invest Mgt-Finan Institutns","740
001","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","26","3.806","65.4","23.1","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Security Anal&Invstmt Mgt 1","835
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 53 of 388"
